dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std
xes3g5m,learner_based,dkt,very_sparse,0.8171629443892252,0.05526777870220558,0.7667834491090305,0.04191858087068382,1.1867343927362817,0.5323240442574723,0.4402129064845098,0.04445083427754518,0.20092986039302022,0.04551947937002772,0.19536810436991556,0.039623234154495035,0.20423579849924525,0.014903128445289314,0.06307537466179503,0.024589312420797513,0.0697943092975836,0.021819584139670584
xes3g5m,learner_based,simplekt,dense,0.7547882871997549,0.001257683731719407,0.8059645306984959,0.00355146937725234,0.6213837030058038,0.013898643055763788,0.39364389407703637,0.003526653563054067,0.11458030008384557,0.0010426099674956215,0.15496546517241608,0.0027769386035862475,0.16168968460682118,0.0019929734653959946,0.017945676737439766,0.0007852107478152427,0.02376709009597164,0.00042945318102252466
xes3g5m,learner_based,simplekt,medium,0.8344162403563237,0.0048663316833516615,0.8372786958301008,0.005219766866122534,0.6194548925759531,0.033658994146523076,0.36721366139196016,0.006501917011835391,0.11174091086581064,0.005958702096722162,0.13487969305275221,0.0047644873652898274,0.1683631159,0.00333436983246989,0.016792776975326714,0.0016892754796456685,0.04910804102565445,0.0009554262700913757
xes3g5m,learner_based,simplekt,sparse,0.8455493016747733,0.004080616986755325,0.8166590832405894,0.004323016859086204,0.6889423637391224,0.04860086646261075,0.3852476936916879,0.006304057319682974,0.12442925740002626,0.00739324603687641,0.14844757840571648,0.004890782402584724,0.18779413612403034,0.004649527011522291,0.02122579991065211,0.0027956976572376876,0.05945847463910873,0.0039049171788286662
xes3g5m,learner_based,simplekt,strict_cold_start,0.5,0.7071067811865476,0.41666666666666663,0.5,0.9390418503536325,0.40425038251680584,0.585829971908931,0.15085947149092913,0.5836404922107855,0.1525348269770485,0.3602656910907108,0.18190875766517625,0.11805555555555555,0.13678969169161256,0.3602652066340795,0.1819091369748208,0.11805555555555555,0.13678969169161256
xes3g5m,learner_based,simplekt,very_sparse,0.8187979607165448,0.03411400397555651,0.7749628846605591,0.010043511801408162,0.9876980480280965,0.15096028587254898,0.43018634721123794,0.01912561678193229,0.19512771263026157,0.0186128600761081,0.18535292470077921,0.016271391738213764,0.20423579849924525,0.014903128445289314,0.05850597864165363,0.014924852216297451,0.07664693849766673,0.017015742491521345
xes3g5m,temporal,irt_1pl,dense,0.6672757735334761,0.0,0.7992681314107728,0.0,0.474395663239121,0.0,0.38934520263440464,0.0,0.054684285275563134,0.0,0.1515896868144256,0.0,0.15633763540880563,0.0,0.004575210393293994,0.0,0.009217141409022895,0.0
xes3g5m,temporal,irt_1pl,medium,0.5607887946269847,0.0,0.6227469998609975,0.0,0.6488104278066438,0.0,0.4778354362690469,0.0,0.17589142763423463,0.0,0.2283267041544304,0.0,0.1691434038109366,0.0,0.06164807990027669,0.0,0.002642107000032762,0.0
xes3g5m,temporal,irt_1pl,sparse,0.6902873819864543,0.0,0.8187320170651851,0.0,0.47202181539104704,0.0,0.38597553535463514,0.0,0.1822866794913515,0.0,0.1489771138922972,0.0,0.12018131471170389,0.0,0.0368402427676221,0.0,0.007952898415897762,0.0
xes3g5m,temporal,irt_1pl,strict_cold_start,0.5,0.0,0.7874998928023189,0.0,0.6236104470512345,0.0,0.46414848518741864,0.0,0.2192943334040357,0.0,0.21543381630177535,0.0,0.16734381163865514,0.0,0.04809000466312037,0.0,0.0,0.0
xes3g5m,temporal,irt_1pl,very_sparse,0.6773957228129425,0.0,0.6037311155196093,0.0,0.6713240070588979,0.0,0.4879022611258581,0.0,0.3189231492916226,0.0,0.23804861641172503,0.0,0.1404433439215381,0.0,0.10607146233881756,0.0,0.00848023123299822,0.0
xes3g5m,temporal,dkt,dense,0.6679262388789932,0.0,0.7579631195961549,0.0,0.6028821500430738,0.0,0.4227013939310928,0.0,0.13154366492310615,0.0,0.17867646843128887,0.0,0.15633763540880563,0.0,0.03239007840364177,0.0,0.009925081857713776,0.0
xes3g5m,temporal,dkt,medium,0.6214158599999314,0.0,0.6258745578945742,0.0,0.9268721385670293,0.0,0.5215210999268721,0.0,0.2572905738728991,0.0,0.2719842576689345,0.0,0.1691434038109366,0.0,0.10966443034307237,0.0,0.006457638178005014,0.0
xes3g5m,temporal,dkt,sparse,0.6490477171816189,0.0,0.8227998809405696,0.0,0.5642897882223381,0.0,0.3785384173512585,0.0,0.12341860292325876,0.0,0.14329133341079553,0.0,0.12018131471170389,0.0,0.030678465012574655,0.0,0.007582848937830126,0.0
xes3g5m,temporal,dkt,strict_cold_start,0.46416009722224466,0.0,0.5009604912226538,0.0,0.7031706905032239,0.0,0.5048818175259446,0.0,0.28116626682915447,0.0,0.2549056496683012,0.0,0.16734381163865514,0.0,0.08784341603282492,0.0,0.000698814949231191,0.0
xes3g5m,temporal,dkt,very_sparse,0.5529297442148372,0.0,0.7460323515946895,0.0,0.5517857520278475,0.0,0.4217475404689699,0.0,0.1548661482297981,0.0,0.17787098789162542,0.0,0.1404433439215381,0.0,0.04203955881425221,0.0,0.0047286638264810235,0.0
xes3g5m,temporal,simplekt,dense,0.6666082899432049,0.0,0.7516631088555932,0.0,0.8802521006363094,0.0,0.44782945293158366,0.0,0.17556624301226306,0.0,0.2005512189130015,0.0,0.15633763540880563,0.0,0.053222277391311565,0.0,0.008549530977272795,0.0
xes3g5m,temporal,simplekt,medium,0.6135727823466814,0.0,0.6410953403246482,0.0,1.3648353698014828,0.0,0.5471822587244523,0.0,0.28545549682185006,0.0,0.29940842426279335,0.0,0.1691434038109366,0.0,0.13486571481808998,0.0,0.004373553134199591,0.0
xes3g5m,temporal,simplekt,sparse,0.6910607196401799,0.0,0.8285544200813573,0.0,0.9727175604818443,0.0,0.38617165434012724,0.0,0.14047908840378337,0.0,0.1491285466157907,0.0,0.12018131471170389,0.0,0.039142449614908335,0.0,0.009862987377827155,0.0
