dataset,split_mode,model,seed,auc,acc,nll,rmse
junyi,learner_based,simplekt,2027,0.7198151240737429,0.7264214103911178,0.6168931886139997,0.43605306169066277
junyi,learner_based,simplekt,42,0.7267426258468979,0.7285509244049138,0.595097470789827,0.4319925316741816
junyi,learner_based,simplekt,42,0.7261242578405391,0.7288452020206655,0.5958542431676748,0.4320421215507052
junyi,temporal,bkt,42,0.5000521464566869,0.3012433147496738,24.126316670219172,0.8359026933188993
junyi,temporal,dkt,2024,0.698185824843438,0.7168080687857199,0.6246708876394852,0.4444463128981052
junyi,temporal,dkt,2025,0.6946658792274159,0.715169212315937,0.6333436659818303,0.4464797454214019
junyi,temporal,dkt,2026,0.6933189220370186,0.7148503830422295,0.6389527880303161,0.4469242971008161
junyi,temporal,dkt,2027,0.6934142837527196,0.7156394392428267,0.6385655574839562,0.4467815576422017
junyi,temporal,dkt,42,0.5003439238620192,0.6236991287697168,0.8315886141809223,0.5165309658413278
junyi,temporal,dkt,42,0.6949106858101545,0.7148460662048679,0.6180593401330602,0.4452398023812115
junyi,temporal,simplekt,2024,0.7113427295524934,0.7148263320912148,0.692712820922553,0.44780584979173527
junyi,temporal,simplekt,2025,0.7143086329745537,0.7164710471259884,0.672301107008952,0.4451116424793464
junyi,temporal,simplekt,2026,0.7125682501459162,0.7170720125558299,0.6812481217417548,0.44637818324248674
junyi,temporal,simplekt,2027,0.7097029384125455,0.7121831942438057,0.682262213879042,0.4488623905662134
junyi,temporal,simplekt,42,0.4997972176310175,0.5999485062971865,0.9902763460429759,0.531714404217783
junyi,temporal,simplekt,42,0.7166881267291503,0.7197752777807755,0.6319723808422417,0.4410861683551407
xes3g5m,learner_based,bkt,2024,0.5000031991605403,0.1880627720105304,28.04332196517886,0.9010763157227852
xes3g5m,learner_based,bkt,2025,0.4999948834599552,0.19294856408892463,27.874483059247545,0.8983596932736702
xes3g5m,learner_based,bkt,42,0.5000031991605403,0.1880627720105304,28.04332196517886,0.9010763157227852
xes3g5m,learner_based,dkt,2024,0.8183753046718523,0.8350753496119062,0.3864668372242793,0.3469795531302159
xes3g5m,learner_based,dkt,2024,0.8183753046718523,0.8350753496119062,0.3864668372242793,0.3469795531302159
xes3g5m,learner_based,dkt,2025,0.8191678243193907,0.8315502815918663,0.39111279634660656,0.3497543958477695
xes3g5m,learner_based,dkt,2025,0.8191678243193907,0.8315502815918663,0.39111279634660656,0.3497543958477695
xes3g5m,learner_based,dkt,2026,0.8136253719263128,0.8296163757309065,0.4029888659917997,0.35273410922212295
xes3g5m,learner_based,dkt,2027,0.8143369455534222,0.8293168318217663,0.40310187899827926,0.35300434955815374
xes3g5m,learner_based,dkt,42,0.8193738173061296,0.835742056826848,0.3862111484508116,0.3465926422354785
xes3g5m,learner_based,dkt,42,0.8193738173061296,0.835742056826848,0.3862111484508116,0.3465926422354785
xes3g5m,learner_based,simplekt,2024,0.7560195553147913,0.8101210054100756,0.6071137027502207,0.38966545197359
xes3g5m,learner_based,simplekt,2024,0.7560195553147913,0.8101210054100756,0.6071137027502207,0.38966545197359
xes3g5m,learner_based,simplekt,2025,0.7571327169377053,0.8065278539211045,0.6210782045588867,0.3932221210770913
xes3g5m,learner_based,simplekt,2025,0.7571327169377053,0.8065278539211045,0.6210782045588867,0.3932221210770913
xes3g5m,learner_based,simplekt,2026,0.7559685012256907,0.80275855198591,0.6325491099312814,0.39667275214204323
xes3g5m,learner_based,simplekt,2027,0.7537512564207893,0.8026203433961031,0.6384461078690946,0.39723742335970524
xes3g5m,learner_based,simplekt,42,0.7565023121139166,0.8094589768422563,0.6082956193953384,0.39007115767085637
xes3g5m,learner_based,simplekt,42,0.7565023121139166,0.8094589768422563,0.6082956193953384,0.39007115767085637
xes3g5m,temporal,bkt,42,0.49996890791010223,0.33725496011150985,21.47286739691042,0.8214091975274042
xes3g5m,temporal,dkt,2024,0.6331737224709632,0.7059430718852763,0.7159316303188129,0.45337431072769513
xes3g5m,temporal,dkt,2025,0.6455363783960615,0.7105459524260047,0.7086325864948161,0.4495817397251337
xes3g5m,temporal,dkt,2026,0.6524123555998416,0.7215929914511646,0.678837559517042,0.4372942448814953
xes3g5m,temporal,dkt,2027,0.6333726543337921,0.7068891706579882,0.7277915816611527,0.451920684445437
xes3g5m,temporal,dkt,42,0.6265091070808065,0.7388308482262691,0.5246027901371128,0.417564136616691
xes3g5m,temporal,dkt,42,0.6429352312694151,0.7097463260878721,0.6428729845457107,0.4440837965444002
xes3g5m,temporal,simplekt,2024,0.6416776623521685,0.7066546890352495,1.015588066667033,0.4669221862343822
xes3g5m,temporal,simplekt,2025,0.640765723072072,0.7113166614594564,0.9733546756275332,0.46305697335627233
xes3g5m,temporal,simplekt,2026,0.6535961978907001,0.7216677992611,0.9832501952943399,0.4632440116534544
xes3g5m,temporal,simplekt,2027,0.6485708455083362,0.7160729294424052,0.9539135482409931,0.4637781981654703
xes3g5m,temporal,simplekt,42,0.6504950946969139,0.7307019424256463,0.5306447042596288,0.4205054611076558
xes3g5m,temporal,simplekt,42,0.6433068495203912,0.7075247227239095,0.9014406631683765,0.4694307781418293
