dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
junyi,temporal,bkt,warm,0.5000519064228826,0.0,0.30110488138206537,0.0,0.698848337246382,0.0,0.6988717279321582,0.0,0.4885904606714461,0.0,5.348273263375751e-07,0.0
junyi,temporal,dkt,k10,0.5032291827631322,0.07125235804192892,0.5043876882776687,0.041780326114888015,0.08674995871634329,0.10260591642367624,0.26842283192659866,0.044825825946503604,0.022326361030607037,0.042843572077115664,0.004454046457858643,0.002741133874269058
junyi,temporal,dkt,k5,0.5032291827631322,0.07125235804192892,0.5043876882776687,0.041780326114888015,0.08674995871634329,0.10260591642367624,0.26842283192659866,0.044825825946503604,0.022326361030607037,0.042843572077115664,0.004454046457858643,0.002741133874269058
junyi,temporal,dkt,strict,0.5032291827631322,0.07125235804192892,0.5043876882776687,0.041780326114888015,0.08674995871634329,0.10260591642367624,0.26842283192659866,0.044825825946503604,0.022326361030607037,0.042843572077115664,0.004454046457858643,0.002741133874269058
junyi,temporal,dkt,warm,0.6624612934485451,0.07942078883146347,0.7003224741326372,0.037497098791194734,0.09523303627386696,0.04877875870180821,0.21016670012121685,0.027724364703378152,0.0176253256890318,0.01886219204733863,0.01784238747279182,0.00874748879966044
junyi,temporal,simplekt,k10,0.49045652151517966,0.06314731459476591,0.5140144073346431,0.06309557013918801,0.08722370555462743,0.11145263933926218,0.2703186078587994,0.04640402194766969,0.026549451215717144,0.04450612010796491,0.005966320399868784,0.003997012090990701
junyi,temporal,simplekt,k5,0.49045652151517966,0.06314731459476591,0.5140144073346431,0.06309557013918801,0.08722370555462743,0.11145263933926218,0.2703186078587994,0.04640402194766969,0.026549451215717144,0.04450612010796491,0.005966320399868784,0.003997012090990701
junyi,temporal,simplekt,strict,0.49045652151517966,0.06314731459476591,0.5140144073346431,0.06309557013918801,0.08722370555462743,0.11145263933926218,0.2703186078587994,0.04640402194766969,0.026549451215717144,0.04450612010796491,0.005966320399868784,0.003997012090990701
junyi,temporal,simplekt,warm,0.6774095683114005,0.08703344788717347,0.696856211510115,0.04749977973892405,0.12210363065548428,0.05159591898548083,0.21273190896473407,0.03433972288034045,0.023768093984454147,0.023712664509602452,0.02125152637222416,0.010427864469100942
xes3g5m,learner_based,bkt,k10,0.6833333333333332,0.3752776749732567,0.6666666666666666,0.2886751345948129,0.4444444444444444,0.09622504486493763,0.38888888888888884,0.09622504486493764,0.27777777777777773,0.0481125224324688,0.05555555555555555,0.0
xes3g5m,learner_based,bkt,k5,0.8333333333333334,0.28867513459481287,0.8333333333333334,0.28867513459481287,0.26666666666666666,0.23094010767585033,0.21666666666666667,0.02886751345948128,0.13333333333333333,0.11547005383792516,0.10666666666666667,0.09237604307034013
xes3g5m,learner_based,bkt,strict,0.5,0.0,0.8333333333333334,0.28867513459481287,0.3333333333333333,0.2886751345948129,0.25,0.0,0.16666666666666666,0.14433756729740646,0.0,0.0
xes3g5m,learner_based,bkt,warm,0.5,0.0,0.18968765284252886,0.0028230855602585083,0.8103123471574712,0.0028230855602585144,0.8103123471574712,0.0028230855602585144,0.6566114131639037,0.004570560799968808,0.0,0.0
xes3g5m,learner_based,dkt,k10,0.7565874098320907,0.0688407928919594,0.7642154457371848,0.06250343938024783,0.22645983810033118,0.05533700068053235,0.19473135185660634,0.052546786450574014,0.07978664364315648,0.0345109959633187,0.05882506337826531,0.011817453640239783
xes3g5m,learner_based,dkt,k5,0.766048085901027,0.09935651762517075,0.656949531949532,0.04314488848569532,0.3184796020820989,0.04149311917283042,0.25542832866204057,0.038414977691876774,0.12939951979090195,0.030272080678360052,0.10816359308473675,0.03797337907865264
xes3g5m,learner_based,dkt,strict,0.8333333333333334,0.2886751345948129,0.47619047619047616,0.4130797993547017,0.45538771294412156,0.11409832528432781,0.2517324547355762,0.045944399880769704,0.226609926787875,0.0758232302747406,0.07936507936507937,0.11831786917361567
xes3g5m,learner_based,dkt,warm,0.8177332193112957,0.0023484816532467045,0.8329613071600979,0.0027463465876381124,0.0388544461223172,0.0020793412070372144,0.12183871287745027,0.0018839180436739762,0.00270439162614833,0.0003096752709397941,0.041716479659220464,0.0005474014709307268
xes3g5m,learner_based,simplekt,k10,0.753935564041947,0.09666302527707105,0.7695645717384848,0.06166563176208629,0.2176821746911068,0.052471310699163706,0.19056617617711374,0.04898255664114608,0.07727902323577894,0.029759167054257917,0.06166728943396681,0.013800453693966697
xes3g5m,learner_based,simplekt,k5,0.7844421101774043,0.1109932416649904,0.6734432234432235,0.08873718852781405,0.30871810084367646,0.05615750788458013,0.24220087103096155,0.04769495585231917,0.14825652454608051,0.06657251705916707,0.14125974076421777,0.026319082380216637
