dataset,split_mode,model,bucket,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,reliability_mean,resolution_mean
xes3g5m,learner_based,bkt,medium,0.8398617224224137,0.012938927695224584,0.8398617224224137,0.012938927695224584,0.1343823990654687,0.7054793233569449,0.0
xes3g5m,learner_based,bkt,sparse,0.6475403897703398,0.013865943217877305,0.6475403897703398,0.013865943217877305,0.22810365713220193,0.41943673263813785,0.0
xes3g5m,learner_based,bkt,strict_cold_start,0.3333333333333333,0.2886751345948129,0.25,0.0,0.08333333333333333,0.16666666666666666,0.0
xes3g5m,learner_based,bkt,very_sparse,0.5,0.0,0.44166666666666665,0.15877132402714708,0.16916666666666666,0.3333333333333333,0.06083333333333333
xes3g5m,learner_based,dkt,dense,0.03826007652553718,0.001939066935303162,0.12182707852633139,0.0018126752021745155,0.16126669413869835,0.0026343052308528602,0.04154312492077393
xes3g5m,learner_based,dkt,medium,0.085275246435256,0.016580059781393704,0.11989297112435116,0.009408444707495392,0.16762990480475753,0.012000654248966599,0.05864755778276831
xes3g5m,learner_based,dkt,sparse,0.11561856263980094,0.01718019258781797,0.14073252736554018,0.011271021082508088,0.187105193993069,0.018288263321254553,0.06359295368470239
xes3g5m,learner_based,dkt,strict_cold_start,0.45538771294412156,0.11409832528432781,0.2517324547355762,0.045944399880769704,0.10317460317460317,0.226609926787875,0.07936507936507937
xes3g5m,learner_based,dkt,very_sparse,0.18858511356094582,0.038673900353630275,0.18477552935525748,0.03388223914343647,0.20472311102347954,0.05658495324840761,0.07424070571607803
xes3g5m,learner_based,simplekt,dense,0.11447958333927016,0.0010499544314218582,0.15426467152197126,0.0024483995291386465,0.16126669413869835,0.0177424047706854,0.023827123595536154
xes3g5m,learner_based,simplekt,medium,0.11047322074228441,0.005477564294125796,0.1338230822708707,0.004358648191181945,0.16762990480475753,0.016648239275235135,0.049308913627248985
xes3g5m,learner_based,simplekt,sparse,0.12387275743290424,0.006319728972084356,0.14797676398207332,0.0039056589300534234,0.187105193993069,0.02095954717160682,0.05901204039198267
xes3g5m,learner_based,simplekt,strict_cold_start,0.5963232957181477,0.1475316036065679,0.37552564810052164,0.17583337973159682,0.10317460317460317,0.3755253712681609,0.10317460317460317
xes3g5m,learner_based,simplekt,very_sparse,0.1934176522319564,0.01927323505811786,0.1843463877383473,0.016496919777897773,0.20472311102347954,0.05997021474472412,0.07967331603414408
xes3g5m,temporal,bkt,dense,0.6892900551830692,0.0,0.6763597366610157,0.0,0.15661973426150425,0.5197400024464043,4.689290141755934e-11
xes3g5m,temporal,bkt,medium,0.672613721332173,0.0,0.6631905713340116,0.0,0.16875463184863007,0.4944496454593213,1.3705973939658024e-05
xes3g5m,temporal,bkt,sparse,0.753588143525741,0.0,0.7314742589703588,0.0,0.12225788001878887,0.6092165966424206,2.1769085068807266e-07
xes3g5m,temporal,bkt,strict_cold_start,0.6763508823945608,0.0,0.6695636206815226,0.0,0.16755424792529386,0.5020214001802482,1.2027424019486198e-05
xes3g5m,temporal,bkt,very_sparse,0.7031005418422637,0.0,0.6802077062010837,0.0,0.1408336121258999,0.539404995618602,3.090154341824137e-05
xes3g5m,temporal,dkt,dense,0.12191706407973994,0.029127550927937364,0.1760408524168694,0.010871911502869069,0.15633763540880563,0.029111053317218267,0.00935168856296399
xes3g5m,temporal,dkt,medium,0.27146514127995375,0.0569993078133531,0.2818872852473872,0.04750771903832744,0.1691434038109366,0.11908353597860073,0.005920201794025904
xes3g5m,temporal,dkt,sparse,0.13422711056489298,0.05228534088234249,0.15326626122493475,0.024496082400531832,0.12018131471170389,0.03742402487848116,0.004185979336077004
xes3g5m,temporal,dkt,strict_cold_start,0.2882535406100057,0.007045934735139896,0.2561454471884255,0.003800630023287965,0.1673438116386551,0.08898548053071303,0.0005412946665133164
xes3g5m,temporal,dkt,very_sparse,0.09898781138799144,0.040015501530513205,0.1473127175160815,0.0215947054032307,0.1404433439215381,0.01825764131237466,0.011181793396906147
xes3g5m,temporal,simplekt,dense,0.15687060183329726,0.046274958461976795,0.1941264284065276,0.019896681482181933,0.15633763540880563,0.04719179658766661,0.009077759270428566
xes3g5m,temporal,simplekt,medium,0.27125449619578307,0.04272956200038329,0.28167349961928806,0.03621877642462431,0.1691434038109366,0.11891554799904802,0.006140060267476642
xes3g5m,temporal,simplekt,sparse,0.1478971634561906,0.02413827821189846,0.1587018478310294,0.01703290506880859,0.12018131471170389,0.04670553571779152,0.007824132745186464
xes3g5m,temporal,simplekt,strict_cold_start,0.2853073721449623,0.01730716283161042,0.26049189766973246,0.01962072334962109,0.1673438116386551,0.0939930489473328,0.0011351826046791548
xes3g5m,temporal,simplekt,very_sparse,0.10353558748921911,0.019468633081117497,0.14115874493127187,0.010115754616051674,0.1404433439215381,0.013096045626904444,0.011710089632945819
