dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_partitions
xes3g5m,dkt,medium,173.25,12980.25,0.8578347747076505,0.8429386789769803,0.4972900071607004,0.3505742851157296,0.090588945575944,0.1230987259166664,0.1680898546217128,0.0132555770302569,0.0570984067202814,1.5000000000000009,119.38557981040536,0.0067087919991237,0.0091049767168642,0.0926298059683958,0.0140167754750847,0.0171552779577691,0.0098966542112652,0.004122756630747,0.0043997282810746,0.0023528402664043,4
xes3g5m,dkt,sparse,120.5,2009.875,0.857064865642641,0.828606283620335,0.7221784600901527,0.3755930729572614,0.1186964982862132,0.1412469031582187,0.1864419917835256,0.0195126365024568,0.063682624983775,1.7320508075688772,169.13228304101693,0.0041239208585876,0.0070239509930126,0.1460849121943596,0.0114542988762105,0.0154247685034698,0.0086552579733454,0.001751800849019,0.0056906357446415,0.0024045330567091,4
xes3g5m,dkt,strict_cold_start,3.375,4.125,0.5535714285714286,0.4027777777777778,0.7240167618436076,0.5140521676518275,0.4472361724409792,0.2655010449116509,0.1022376543209876,0.2217026561651162,0.0582561728395061,2.5617376914898995,3.4731109973624514,0.2777919497518579,0.3080704585113726,0.0792460647023891,0.0378719388056551,0.093706920278093,0.0391272046197239,0.1208467346682888,0.0690877546866176,0.0734971424075929,4
xes3g5m,dkt,very_sparse,39.125,112.25,0.8380549175334866,0.7882059802488002,1.149727299678542,0.4228155658150025,0.1840201777668764,0.180608896722024,0.2048120158887898,0.0541999062325792,0.0762389487356776,2.0966242709015206,14.591664287073858,0.047867101381133,0.0405280091642861,0.5609590882414489,0.0435294434901159,0.0372013231071226,0.0364445738431606,0.0086466671568208,0.0202330416522822,0.0191640358593536,4
xes3g5m,irt_1pl,dense,498.0,1269345.0,0.5,0.7962477576312736,0.5624198322586859,0.4314441875838057,0.1546162764179666,0.1861447268721621,0.1622301607388894,0.0239145661332727,0.0,0.816496580927726,1728.7812662875158,0.0,0.0030779559348608,0.0016288392844419,0.0009236682752115,0.0033412971364736,0.0007962403125233,0.0018320145953327,0.001042390287927,0.0,4
xes3g5m,irt_1pl,medium,173.25,12888.75,0.5,0.7837632429906727,0.569694385842913,0.4355228641900894,0.1421317617773655,0.1896824686254831,0.1694542164439468,0.0202282521815362,0.0,1.5000000000000009,170.8827570782572,0.0,0.0056810190951492,0.0031270661914296,0.0017524813433559,0.0059793506446186,0.0015255218878973,0.0032343269912559,0.0017108896550342,0.0,4
xes3g5m,irt_1pl,sparse,120.5,1969.25,0.5,0.7535741242383593,0.5872807397781213,0.4452289952029944,0.1119426430250523,0.1982351347432039,0.1856354933163884,0.0125996414268154,0.0,1.7320508075688772,158.3485080447555,0.0,0.0092858458857645,0.0052775081843241,0.0028928817779578,0.0095558777291735,0.0025700398023962,0.0047680375587236,0.002198309625777,0.0,4
xes3g5m,irt_1pl,strict_cold_start,4.25,5.0,0.5,0.6527777777777778,0.6461999240585634,0.4698082283271313,0.2362078901621175,0.2268836148518337,0.1612654320987654,0.0656181827530683,0.0,1.8929694486000912,2.70801280154532,0.0,0.2952818281315181,0.1719905763901216,0.0906557109652107,0.1144494961586658,0.0836437263740561,0.1121458166606429,0.0552543167431397,0.0,4
xes3g5m,irt_1pl,very_sparse,38.5,114.25,0.5,0.7266388984029544,0.6029816761040112,0.4535860103056048,0.0850074171896473,0.205870610099432,0.1973224972679806,0.0085481128314513,0.0,3.1091263510296048,22.51480994071828,0.0,0.0418300125542202,0.0242784853670681,0.0131828855958925,0.041981771507749,0.0118095646393079,0.0204726733501718,0.0086837642851658,0.0,4
xes3g5m,simplekt,dense,498.0,1268695.625,0.7546254366968687,0.8063871897313466,0.6200441023809863,0.3932441889299759,0.1144718738587852,0.154651914884413,0.1613833143356923,0.0178825396535955,0.023708178426669,0.816496580927726,1946.3852554157857,0.0013181816907319,0.0036426867715051,0.0149870005574268,0.0036832312198886,0.0010846392234992,0.0028993271374093,0.0021355642060511,0.000781698282304,0.0002326571473534,4
xes3g5m,simplekt,medium,173.25,12980.25,0.8337585683988171,0.8368139362564266,0.6178593129214492,0.3674284164901834,0.1114455079815435,0.1350542896748336,0.1680898546217128,0.0168898359463427,0.0487652287390772,1.5000000000000009,119.38557981040536,0.0057251989707963,0.0066159116235938,0.0388013736989286,0.0081793633997332,0.007625545548438,0.0059950579581722,0.004122756630747,0.0020991749303075,0.0020094224719926,4
