kc_id,test_events,ECE,dataset,split,fold,train_freq,log_train_freq,n_train_learners,n_train_items,train_correct_rate,difficulty_proxy,median_sequence_position_train
652,41,0.0574404253062365,xes3g5m,learner_based,0,191,5.2574953720277815,182,1,0.9476439790575916,0.05235602094240843,0.8685121107266436
653,89,0.3461791920283381,xes3g5m,learner_based,0,340,5.831882477283517,243,2,0.5852941176470589,0.41470588235294115,0.3497380298582836
654,104,0.12601471672286815,xes3g5m,learner_based,0,415,6.030685260261263,288,3,0.8024096385542169,0.19759036144578312,0.9070247933884298
655,160,0.2493608854503312,xes3g5m,learner_based,0,536,6.285998094508865,380,1,0.42723880597014924,0.5727611940298507,0.3947015224358974
656,141,0.12683909942547897,xes3g5m,learner_based,0,450,6.111467339502679,409,2,0.84,0.16000000000000003,0.48742874159788985
657,414,0.00013112098876675112,xes3g5m,learner_based,0,1228,7.113956109566034,439,3,0.8371335504885994,0.1628664495114006,0.03945905066951377
658,449,0.2433597455662002,xes3g5m,learner_based,0,1335,7.197435354096591,436,4,0.7588014981273409,0.24119850187265912,0.05401459854014599
659,549,0.05748973146270965,xes3g5m,learner_based,0,1831,7.513163545234075,858,2,0.9328235936646642,0.06717640633533584,0.6233333333333333
66,4747,0.11565036615885052,xes3g5m,learner_based,0,16295,9.698674957906642,8098,15,0.8432034366370053,0.15679656336299475,0.7142857142857143
660,98,0.1992062378712759,xes3g5m,learner_based,0,375,5.929589143389895,155,2,0.9173333333333333,0.08266666666666667,0.9696312364425163
661,31,0.2341384363375724,xes3g5m,learner_based,0,120,4.795790545596741,111,5,0.8083333333333333,0.19166666666666665,0.5
662,17,0.13621733819737153,xes3g5m,learner_based,0,66,4.204692619390966,66,1,0.9545454545454546,0.045454545454545414,0.2699333639705882
663,16,0.00021482568246258815,xes3g5m,learner_based,0,59,4.0943445622221,59,1,0.864406779661017,0.13559322033898302,0.294921875
664,17,0.09787984367679148,xes3g5m,learner_based,0,50,3.9318256327243257,50,1,0.94,0.06000000000000005,0.2651867314107499
665,73,0.15272099504323855,xes3g5m,learner_based,0,202,5.313205979041787,127,7,0.8366336633663366,0.1633663366336634,0.3782798833819242
666,26,0.20134809727852154,xes3g5m,learner_based,0,71,4.276666119016055,71,1,0.8450704225352113,0.15492957746478875,0.3902439024390244
667,13,0.06618699169031282,xes3g5m,learner_based,0,22,3.1354942159291497,22,1,0.8636363636363636,0.13636363636363635,0.762794479767724
668,26,0.2690022228142389,xes3g5m,learner_based,0,70,4.2626798770413155,64,2,0.7857142857142857,0.2142857142857143,0.9312886653883723
669,12,0.36025049537420273,xes3g5m,learner_based,0,24,3.2188758248682006,24,1,0.7083333333333334,0.29166666666666663,0.762165092432651
67,5417,0.10365780387460269,xes3g5m,learner_based,0,19048,9.854769885738698,7054,63,0.8373057538849223,0.16269424611507766,0.5295743904108547
670,29,0.28256091039932885,xes3g5m,learner_based,0,80,4.394449154672439,73,2,0.85,0.15000000000000002,0.886026263202969
671,27,0.25039482889352016,xes3g5m,learner_based,0,93,4.543294782270004,93,1,0.8494623655913979,0.15053763440860213,0.9930232558139535
672,13,0.23531124912775475,xes3g5m,learner_based,0,45,3.828641396489095,45,1,0.7555555555555555,0.24444444444444446,0.10223642172523961
673,15,0.16897226559619108,xes3g5m,learner_based,0,45,3.828641396489095,45,1,0.8,0.19999999999999996,0.09502262443438914
674,15,0.13919101158777875,xes3g5m,learner_based,0,42,3.7612001156935624,42,1,0.8095238095238095,0.19047619047619047,0.09560643800035039
675,33,0.2820463288772964,xes3g5m,learner_based,0,82,4.418840607796598,76,2,0.7804878048780488,0.2195121951219512,0.28533491712405445
676,19,0.11066040935877124,xes3g5m,learner_based,0,57,4.060443010546419,57,1,0.8771929824561403,0.1228070175438597,0.322265625
677,19,0.15000659070516892,xes3g5m,learner_based,0,48,3.8918202981106265,48,1,0.7708333333333334,0.22916666666666663,0.5392786860429912
678,27,0.3501113233742891,xes3g5m,learner_based,0,76,4.343805421853684,76,1,0.8421052631578947,0.1578947368421053,0.7482761216501055
679,58,0.008153455010775893,xes3g5m,learner_based,0,209,5.3471075307174685,106,2,0.9760765550239234,0.02392344497607657,0.7477148080438757
68,2138,0.021981274789256697,xes3g5m,learner_based,0,7246,8.888342869109282,2684,17,0.9590118686171681,0.04098813138283186,0.436025866470021
680,76,0.10246892273426059,xes3g5m,learner_based,0,281,5.641907070938114,281,1,0.9288256227758007,0.07117437722419928,0.1906158357771261
681,188,0.0010170064265922851,xes3g5m,learner_based,0,660,6.493753839851686,363,3,0.8590909090909091,0.14090909090909087,0.4833892598744719
682,60,0.0001276140618550342,xes3g5m,learner_based,0,248,5.517452896464707,248,1,0.6733870967741935,0.3266129032258065,0.5305123749140631
683,33,0.1302680416802381,xes3g5m,learner_based,0,100,4.61512051684126,65,2,0.86,0.14,0.653359264136882
684,44,0.0015284689845210437,xes3g5m,learner_based,0,158,5.0689042022202315,158,1,0.4873417721518987,0.5126582278481013,0.7672413793103449
685,35,0.33084608214973876,xes3g5m,learner_based,0,114,4.74493212836325,82,4,0.3684210526315789,0.631578947368421,0.9548750863321347
686,17,0.13310629830640908,xes3g5m,learner_based,0,49,3.912023005428146,49,1,0.8571428571428571,0.1428571428571429,0.08677685950413223
687,49,0.28065656927623306,xes3g5m,learner_based,0,191,5.2574953720277815,191,1,0.5287958115183246,0.47120418848167545,0.06611570247933884
688,51,0.24024231623237333,xes3g5m,learner_based,0,158,5.0689042022202315,158,1,0.6708860759493671,0.3291139240506329,0.10213780313262241
689,77,0.25280397782078035,xes3g5m,learner_based,0,339,5.8289456176102075,182,2,0.6519174041297935,0.3480825958702065,0.12190082644628099
69,2584,0.16268522661745294,xes3g5m,learner_based,0,9072,9.11305824916963,3492,30,0.7847222222222222,0.2152777777777778,0.563479018915213
690,60,0.08355267519752178,xes3g5m,learner_based,0,206,5.332718793265369,206,1,0.8883495145631068,0.11165048543689315,0.2723934392465619
691,69,0.34676011422298086,xes3g5m,learner_based,0,217,5.384495062789089,183,2,0.7327188940092166,0.26728110599078336,0.2928416485900217
692,58,0.017054736322514703,xes3g5m,learner_based,0,210,5.351858133476067,210,3,0.7571428571428571,0.24285714285714288,0.42032920310981536
693,54,0.18473026584143992,xes3g5m,learner_based,0,192,5.262690188904886,192,2,0.6614583333333334,0.33854166666666663,0.4258324726431252
694,40,0.0676366085186601,xes3g5m,learner_based,0,153,5.0369526024136295,153,2,0.934640522875817,0.065359477124183,0.5167785234899329
695,106,0.19521613174803415,xes3g5m,learner_based,0,400,5.993961427306569,215,3,0.78,0.21999999999999997,0.6076672104404568
696,158,0.09212356315383433,xes3g5m,learner_based,0,586,6.375024819828097,227,4,0.9010238907849829,0.0989761092150171,0.623423180592992
697,29,0.12985062768187683,xes3g5m,learner_based,0,103,4.6443908991413725,103,1,0.970873786407767,0.029126213592232997,0.6593406593406593
698,107,1.6292762805493725e-07,xes3g5m,learner_based,0,381,5.945420608606575,219,2,0.8792650918635171,0.12073490813648291,0.7052845528455285
699,40,0.2899339348077774,xes3g5m,learner_based,0,160,5.081404364984463,157,2,0.71875,0.28125,0.719888482700048
7,3542,0.15695769293999554,xes3g5m,learner_based,0,11934,9.387230538772931,7827,15,0.8055136584548349,0.1944863415451651,0.6471540072339615
70,52,0.017337356850492043,xes3g5m,learner_based,0,186,5.231108616854587,186,2,0.9731182795698925,0.026881720430107503,0.6432042072369047
700,73,0.15595859809689328,xes3g5m,learner_based,0,247,5.5134287461649825,244,2,0.8299595141700404,0.17004048582995956,0.9901768172888016
701,14,0.14285347291401462,xes3g5m,learner_based,0,29,3.4011973816621555,29,1,1.0,0.0,0.9930458970792768
702,69,0.41564768943361985,xes3g5m,learner_based,0,238,5.476463551931511,238,2,0.40756302521008403,0.592436974789916,0.12228645031572995
703,47,0.1592944009189909,xes3g5m,learner_based,0,202,5.313205979041787,202,1,0.8514851485148515,0.14851485148514854,0.4230769230769231
704,61,0.0003781013253575028,xes3g5m,learner_based,0,247,5.5134287461649825,231,2,0.8744939271255061,0.1255060728744939,0.5197568389057751
705,43,0.1387450237606847,xes3g5m,learner_based,0,149,5.0106352940962555,50,3,0.959731543624161,0.04026845637583898,0.8459821428571429
706,15,0.4328811089197795,xes3g5m,learner_based,0,45,3.828641396489095,45,1,0.8444444444444444,0.15555555555555556,0.46697038724373574
707,23,0.00035820896182336504,xes3g5m,learner_based,0,60,4.110873864173311,58,1,0.016666666666666666,0.9833333333333333,0.6955667549329461
708,15,0.3073039604971807,xes3g5m,learner_based,0,30,3.4339872044851463,30,1,0.7666666666666667,0.23333333333333328,0.22264582853002207
709,81,0.048406654313482525,xes3g5m,learner_based,0,284,5.652489180268651,284,2,0.9929577464788732,0.007042253521126751,0.06389646985732987
71,822,0.22327133784197506,xes3g5m,learner_based,0,2786,7.932721027481948,2442,3,0.7803302225412778,0.21966977745872218,0.7546520685476892
710,17,0.4416684429435169,xes3g5m,learner_based,0,46,3.8501476017100584,46,2,0.43478260869565216,0.5652173913043479,0.053316225819186734
711,19,0.13108485623409874,xes3g5m,learner_based,0,62,4.143134726391533,62,1,0.9193548387096774,0.08064516129032262,0.03131223383069334
712,32,1.0097262288080221e-06,xes3g5m,learner_based,0,100,4.61512051684126,62,1,0.39,0.61,0.9799328859060403
713,180,0.3073612715221113,xes3g5m,learner_based,0,672,6.511745329644728,665,1,0.6770833333333334,0.32291666666666663,0.8976230582069998
714,39,0.10223764028304667,xes3g5m,learner_based,0,107,4.68213122712422,107,1,0.897196261682243,0.10280373831775702,0.02857142857142857
715,33,0.21462361115228504,xes3g5m,learner_based,0,82,4.418840607796598,82,2,0.9024390243902439,0.09756097560975607,0.1603805273639003
716,15,0.056461052099863705,xes3g5m,learner_based,0,42,3.7612001156935624,35,2,0.7380952380952381,0.26190476190476186,0.94480216119597
717,7,0.1428497798878262,xes3g5m,learner_based,0,25,3.258096538021482,24,1,0.96,0.040000000000000036,0.9877300613496932
718,10,2.7598927306859977e-06,xes3g5m,learner_based,0,21,3.091042453358316,19,3,0.9523809523809523,0.04761904761904767,0.9443155452436195
719,21,0.09016062815984088,xes3g5m,learner_based,0,108,4.6913478822291435,108,2,0.9629629629629629,0.03703703703703709,0.7332888365989412
72,1078,0.04275228622818067,xes3g5m,learner_based,0,3760,8.232440158470336,3088,8,0.848404255319149,0.15159574468085102,0.5869967670029199
720,30,0.22227577188362674,xes3g5m,learner_based,0,103,4.6443908991413725,84,1,0.5339805825242718,0.46601941747572817,0.3301282051282051
721,46,0.20503086499545892,xes3g5m,learner_based,0,192,5.262690188904886,192,1,0.7239583333333334,0.27604166666666663,0.427435337588176
722,11,0.4302861189300364,xes3g5m,learner_based,0,51,3.9512437185814275,51,2,0.49019607843137253,0.5098039215686274,0.03734439834024896
723,22,0.10308102501386947,xes3g5m,learner_based,0,65,4.189654742026425,65,2,0.8615384615384616,0.1384615384615384,0.036885245901639344
725,12,0.30058750843939686,xes3g5m,learner_based,0,46,3.8501476017100584,42,4,0.7391304347826086,0.26086956521739135,0.17644515543257383
726,22,0.017835211633127478,xes3g5m,learner_based,0,46,3.8501476017100584,46,1,0.9565217391304348,0.04347826086956519,0.13666932482721955
727,20,0.0012951958838954122,xes3g5m,learner_based,0,81,4.406719247264253,80,1,0.9012345679012346,0.09876543209876543,0.9508196721311475
728,31,0.16932026310751203,xes3g5m,learner_based,0,101,4.624972813284271,101,1,0.9603960396039604,0.03960396039603964,0.657967032967033
729,14,3.841426296676989e-06,xes3g5m,learner_based,0,47,3.871201010907891,47,1,0.9148936170212766,0.08510638297872342,0.9970845481049563
73,15354,0.04902857883058759,xes3g5m,learner_based,0,54222,10.900860451658483,10024,101,0.8356386706502895,0.16436132934971048,0.7536534446764092
730,10,0.3085387286730111,xes3g5m,learner_based,0,44,3.8066624897703196,44,2,0.38636363636363635,0.6136363636363636,0.12060521074665692
731,10,0.10358035019598899,xes3g5m,learner_based,0,24,3.2188758248682006,24,1,0.875,0.125,0.11915324415324416
732,29,0.0020328637185540346,xes3g5m,learner_based,0,80,4.394449154672439,80,1,0.9875,0.012499999999999956,0.07205917300380227
733,36,0.08675090803040406,xes3g5m,learner_based,0,98,4.59511985013459,98,2,0.9387755102040817,0.061224489795918324,0.13753349603483045
