dataset,model,seed,fold,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
xes3g5m,irt_1pl,2024,1,strict_cold_start,4,4,0.5,0.5,0.9083921843964162,0.5809065289788685,0.29572351176441314,0.33745239541027705,0.25,0.087452395410277,0.0
xes3g5m,dkt,2024,1,dense,499,1269206,0.8182625933471662,0.8319855090505403,0.39065203949993077,0.3498609774196838,0.037670223422305235,0.12240270352105652,0.16262776366001744,0.0025470192313826654,0.04223544261214451
xes3g5m,dkt,2024,1,medium,172,12772,0.8576128105391215,0.8380833072345756,0.4367042130373108,0.34652820439643367,0.07951149321430269,0.12008179644221652,0.16850790010131192,0.011419568522914925,0.058893913404783095
xes3g5m,dkt,2024,1,sparse,121,2014,0.8678963179362804,0.836643495531281,0.5500132045261574,0.36327214637204375,0.10891840556453955,0.13196665232975158,0.17890654199156059,0.018587252991603246,0.06415290753699175
xes3g5m,dkt,2024,1,very_sparse,40,132,0.8962912087912087,0.8560606060606061,0.5812613338267263,0.3433705484649944,0.11382869424542978,0.11790333355315105,0.16712580348943987,0.023899880523856498,0.07166461263351216
xes3g5m,dkt,2024,1,strict_cold_start,4,4,0.5,0.25,0.7367118330719118,0.5213453177994942,0.5138893872499466,0.27180094039145564,0.25,0.27180094039145564,0.25
xes3g5m,simplekt,2024,1,dense,499,1269206,0.7530952941784127,0.8051829253879985,0.6289853334590376,0.39508583299020833,0.11714675688669882,0.1560928154295668,0.16262776366001744,0.018217846604656925,0.023856729732358604
xes3g5m,simplekt,2024,1,medium,172,12772,0.8352755489004529,0.8351080488568744,0.588995421055705,0.3657162793346831,0.10918030697254162,0.13374839697040394,0.16850790010131192,0.016715056065276054,0.050222811476550146
xes3g5m,simplekt,2024,1,sparse,121,2014,0.8591624407452321,0.8242303872889771,0.6132583269049724,0.379232266885109,0.12241314110544704,0.14381711224681856,0.17890654199156059,0.0227667250788132,0.05667646959410205
xes3g5m,simplekt,2024,1,very_sparse,40,132,0.8798076923076923,0.8257575757575758,0.7268589986769229,0.3705355760613709,0.13436499630795706,0.13729661312713196,0.16712580348943987,0.04063875872241526,0.06952173864747178
xes3g5m,simplekt,2024,1,strict_cold_start,4,4,0.5,0.75,0.6766846348567288,0.48169879481517064,0.42083101719617844,0.23203372892638785,0.25,0.23203372892638785,0.25
xes3g5m,irt_1pl,2025,2,dense,497,1270099,0.5,0.7945577470732597,0.5078674358887896,0.4040294012312219,0.002005846488165819,0.1632397570592597,0.16323573363912558,4.0234201340871485e-06,0.0
xes3g5m,irt_1pl,2025,2,medium,174,12780,0.5,0.7803599374021909,0.5272467860400007,0.4143197605386042,0.01620365615923447,0.1716608639727663,0.17139830549983961,0.0002625584729266972,0.0
xes3g5m,irt_1pl,2025,2,sparse,121,1907,0.5,0.7461982170949135,0.5738759460963941,0.43809029782214914,0.050365376466511735,0.19192310904589935,0.18938643789928583,0.0025366711466134543,0.0
xes3g5m,irt_1pl,2025,2,very_sparse,35,88,0.5,0.7159090909090909,0.6152191952121637,0.45813580220378475,0.08065450265233454,0.20988841326090538,0.2033832644628099,0.006505148798095438,0.0
xes3g5m,irt_1pl,2025,2,strict_cold_start,3,3,0.5,0.3333333333333333,1.137417318527859,0.6609118672056117,0.46323026022809205,0.4368044962132081,0.22222222222222224,0.21458227399098587,0.0
xes3g5m,dkt,2025,2,dense,497,1270099,0.8174156364819116,0.8306210775695438,0.3920832476397566,0.3508171417018026,0.03761977079682218,0.12307266691182266,0.16323573363912558,0.002686756022570295,0.04232380120978746
xes3g5m,dkt,2025,2,medium,174,12780,0.8599094648532869,0.8417057902973396,0.42788446676170966,0.34619107102179836,0.07680148170121065,0.11984825765521982,0.17139830549983961,0.009624086078382452,0.06036323411423968
xes3g5m,dkt,2025,2,sparse,121,1907,0.8520491279626908,0.8217094913476665,0.6299405803403589,0.3766710584825838,0.11045891999273852,0.14188108629839005,0.18938643789928583,0.016763223649554026,0.06317626171743183
xes3g5m,dkt,2025,2,very_sparse,35,88,0.7473015873015872,0.7159090909090909,1.3024530111287944,0.4925972482086887,0.2544752302666056,0.2426520489427725,0.2033832644628099,0.08880262081280867,0.04741007098961644
xes3g5m,dkt,2025,2,strict_cold_start,3,3,0.0,0.3333333333333333,0.7766042878064562,0.53947719213496,0.21276015043258667,0.2910356408338206,0.22222222222222224,0.12382125493039453,0.05555555555555556
xes3g5m,simplekt,2025,2,dense,497,1270099,0.7514742959361833,0.8029027658473867,0.6404223976995002,0.39722512634774887,0.11879153819861912,0.15778780100198506,0.16323573363912558,0.01904420887070477,0.023617384806816785
xes3g5m,simplekt,2025,2,medium,174,12780,0.8309141486430891,0.8311424100156495,0.620126436349954,0.3728948201272157,0.11505560667732032,0.13905054687770854,0.17139830549983961,0.01767231973523975,0.04877359865779522
xes3g5m,simplekt,2025,2,sparse,121,1907,0.8386745497522984,0.815416885159937,0.6634816721169852,0.38648999896231767,0.12061393852237834,0.1493745192978923,0.18938643789928583,0.018625261736417046,0.057289317042229795
xes3g5m,simplekt,2025,2,very_sparse,35,88,0.7165079365079364,0.7272727272727273,1.5459556956852618,0.4987472652108225,0.259562608958898,0.24874883455527455,0.2033832644628099,0.08510064202772562,0.03967859481551732
xes3g5m,simplekt,2025,2,strict_cold_start,3,3,0.5,0.3333333333333333,0.9193569054851602,0.5996639746048765,0.5293059001366297,0.35959688243891796,0.22222222222222224,0.35959688243891796,0.22222222222222224
xes3g5m,irt_1pl,2026,3,dense,497,1270099,0.5,0.7945577470732597,0.5078674358887896,0.4040294012312219,0.002005846488165819,0.1632397570592597,0.16323573363912558,4.0234201340871485e-06,0.0
xes3g5m,irt_1pl,2026,3,medium,174,12780,0.5,0.7803599374021909,0.5272467860400007,0.4143197605386042,0.01620365615923447,0.1716608639727663,0.17139830549983961,0.0002625584729266972,0.0
xes3g5m,irt_1pl,2026,3,sparse,121,1907,0.5,0.7461982170949135,0.5738759460963941,0.43809029782214914,0.050365376466511735,0.19192310904589935,0.18938643789928583,0.0025366711466134543,0.0
xes3g5m,irt_1pl,2026,3,very_sparse,35,88,0.5,0.7159090909090909,0.6152191952121637,0.45813580220378475,0.08065450265233454,0.20988841326090538,0.2033832644628099,0.006505148798095438,0.0
