dataset,split_mode,model,bucket,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,reliability_mean,resolution_mean
xes3g5m,temporal,bkt,medium,0.672613721332173,0.0,0.6631905713340116,0.0,0.16875463184863007,0.4944496454593213,1.3705973939658024e-05
xes3g5m,temporal,bkt,sparse,0.753588143525741,0.0,0.7314742589703588,0.0,0.12225788001878887,0.6092165966424206,2.1769085068807266e-07
xes3g5m,temporal,bkt,very_sparse,0.6790434693024185,0.0,0.6706350408755674,0.0,0.16503407228426598,0.5056058466150388,4.878023737462076e-06
xes3g5m,temporal,dkt,dense,0.22998442435917144,0.0,0.2411426700354382,0.0,0.15633763540880563,0.08442712838800313,2.957020163079753e-06
xes3g5m,temporal,dkt,medium,0.2313453542060589,0.0,0.25120201342666554,0.0,0.1691434038109366,0.08160901299165975,2.4605272391401067e-05
xes3g5m,temporal,dkt,sparse,0.22626047218084278,0.0,0.2142692809720461,0.0,0.12018131471170389,0.0937580115344554,8.548707101518131e-05
xes3g5m,temporal,dkt,very_sparse,0.22830645311601752,0.0,0.2460812745264191,0.0,0.1647976516299919,0.08091616388422397,5.453482560889145e-06
xes3g5m,temporal,simplekt,dense,0.26392305689342654,0.0,0.26947501139635294,0.0,0.15633763540880563,0.11280810882631669,7.547912469361473e-07
xes3g5m,temporal,simplekt,medium,0.27087067513259183,0.0,0.2808864654117508,0.0,0.1691434038109366,0.11144615408847977,3.311501423367631e-05
xes3g5m,temporal,simplekt,sparse,0.25301617481461686,0.0,0.24305388320669563,0.0,0.12018131471170389,0.12286718092104669,0.0002453595133546018
xes3g5m,temporal,simplekt,very_sparse,0.2651761127913542,0.0,0.2748905994292342,0.0,0.1647976516299919,0.10978471008398594,6.003818448179746e-06
