dataset,split_mode,model,bucket,auc_mean,auc_std,acc_mean,acc_std,nll_mean,nll_std,rmse_mean,rmse_std,ece_mean,ece_std,brier_mean,brier_std,uncertainty_mean,uncertainty_std,reliability_mean,reliability_std,resolution_mean,resolution_std,dataset_sort,model_sort,bucket_sort
assist2012,temporal,simplekt,strict_cold_start,0.4318302140712331,0.0,0.4633972992181947,0.0,0.8123555062249097,0.0,0.5482015805679845,0.0,0.18557365584983507,0.0,0.3005249729372364,0.0,0.2499847195134087,0.0,0.06043172689856478,0.0,0.010083745596978722,0.0,0,2,
junyi,temporal,irt_1pl,dense,0.6483312633031195,0.0,0.7207383443001047,0.0,0.5692200962187166,0.0,0.43888172177869295,0.0,0.02331512429003171,0.0,0.19261716571143003,0.0,0.20704048484671117,0.0,0.0007573020535533988,0.0,0.015043089953354807,0.0,1,0,0.0
junyi,temporal,irt_1pl,medium,0.6487373757242716,0.0,0.6219318324241245,0.0,0.6581524492063996,0.0,0.48248109035884923,0.0,0.0624738117803937,0.0,0.23278800255386406,0.0,0.24793404784229917,0.0,0.005082385341983463,0.0,0.020131220131197454,0.0,1,0,1.0
junyi,temporal,irt_1pl,sparse,0.617259837899646,0.0,0.6703072935949649,0.0,0.629127885092134,0.0,0.4678781260267643,0.0,0.03981395092098093,0.0,0.21890994081431678,0.0,0.23055243601033337,0.0,0.0020125467322606974,0.0,0.013604312417178126,0.0,1,0,2.0
junyi,temporal,irt_1pl,strict_cold_start,0.5,0.0,0.5147347740667977,0.0,0.7752246691797081,0.0,0.535894991375562,0.0,0.19339223187143073,0.0,0.28718344178141364,0.0,0.24978288643320043,0.0,0.03740055534821323,0.0,0.0,0.0,1,0,
junyi,temporal,dkt,dense,0.7073433059093617,0.0,0.7238046360169841,0.0,0.5784243296138786,0.0,0.43602848112798587,0.0,0.06288748885799753,0.0,0.1901208363547783,0.0,0.20704048484671117,0.0,0.0062104444339416325,0.0,0.023012209552766293,0.0,1,1,0.0
junyi,temporal,dkt,medium,0.5562245188896736,0.0,0.5488697005877425,0.0,1.3060200183925519,0.0,0.5886332230900096,0.0,0.2920961754368725,0.0,0.3464890713253331,0.0,0.24793404784229917,0.0,0.10072826430122728,0.0,0.002293184598539877,0.0,1,1,1.0
junyi,temporal,dkt,sparse,0.518347258259561,0.0,0.592990250524497,0.0,1.6869803978436217,0.0,0.5856861507875657,0.0,0.31313435789414323,0.0,0.3430282672243551,0.0,0.23055243601033337,0.0,0.11299459134391562,0.0,0.0009516800317839555,0.0,1,1,2.0
junyi,temporal,dkt,strict_cold_start,0.5902735111413295,0.0,0.5611001964636543,0.0,0.6862097388100993,0.0,0.49648727799590864,0.0,0.04942486101143019,0.0,0.24649961721178665,0.0,0.24978288643320043,0.0,0.005069797383147545,0.0,0.007962990881738165,0.0,1,1,
junyi,temporal,simplekt,dense,0.717793179147639,0.0,0.725934638063999,0.0,0.6235050173008877,0.0,0.4369054037950388,0.0,0.0888931232805241,0.0,0.19088633186530587,0.0,0.20704048484671117,0.0,0.010247996693733705,0.0,0.026221908734764498,0.0,1,2,0.0
junyi,temporal,simplekt,medium,0.6435646970819779,0.0,0.6045700112799066,0.0,0.7853754609388977,0.0,0.5121896943688865,0.0,0.15524209803751501,0.0,0.26233828301769335,0.0,0.24793404784229917,0.0,0.02986481614931867,0.0,0.015395184878913013,0.0,1,2,1.0
junyi,temporal,simplekt,sparse,0.6528753963455837,0.0,0.6562384302110329,0.0,0.7916607120027609,0.0,0.49720669365064246,0.0,0.16240918781079006,0.0,0.24721449621100383,0.0,0.23055243601033337,0.0,0.03238423095029892,0.0,0.015849564168586894,0.0,1,2,2.0
junyi,temporal,simplekt,strict_cold_start,0.5052677936767933,0.0,0.550098231827112,0.0,0.7006872879840036,0.0,0.5036115534342136,0.0,0.0840679098557395,0.0,0.2536245967524218,0.0,0.24978288643320043,0.0,0.015503575061681497,0.0,0.010573728341497378,0.0,1,2,
xes3g5m,temporal,irt_1pl,dense,0.6672757735334761,0.0,0.7992681314107728,0.0,0.474395663239121,0.0,0.38934520263440464,0.0,0.054684285275563134,0.0,0.1515896868144256,0.0,0.15633763540880563,0.0,0.004575210393293994,0.0,0.009217141409022895,0.0,2,0,0.0
xes3g5m,temporal,irt_1pl,medium,0.5607887946269847,0.0,0.6227469998609975,0.0,0.6488104278066438,0.0,0.4778354362690469,0.0,0.17589142763423463,0.0,0.2283267041544304,0.0,0.1691434038109366,0.0,0.06164807990027669,0.0,0.002642107000032762,0.0,2,0,1.0
xes3g5m,temporal,irt_1pl,sparse,0.6902873819864543,0.0,0.8187320170651851,0.0,0.47202181539104704,0.0,0.38597553535463514,0.0,0.1822866794913515,0.0,0.1489771138922972,0.0,0.12018131471170389,0.0,0.0368402427676221,0.0,0.007952898415897762,0.0,2,0,2.0
