dataset,split_mode,model,seed,group,n_events,n_kcs
xes_simplekt_test,learner_based,simplekt,42,k5,0,0
xes_simplekt_test,learner_based,simplekt,42,k10,0,0
xes_simplekt_test,learner_based,simplekt,42,warm,0,0
xes_simplekt_test,temporal,simplekt,2024,strict,0,0
xes_simplekt_test,temporal,simplekt,2024,k5,0,0
xes_simplekt_test,temporal,simplekt,2024,k10,0,0
xes_simplekt_test,temporal,simplekt,2024,warm,0,0
xes_simplekt_test,temporal,simplekt,2025,strict,0,0
xes_simplekt_test,temporal,simplekt,2025,k5,0,0
xes_simplekt_test,temporal,simplekt,2025,k10,0,0
xes_simplekt_test,temporal,simplekt,2025,warm,0,0
xes_simplekt_test,temporal,simplekt,42,strict,0,0
xes_simplekt_test,temporal,simplekt,42,k5,0,0
xes_simplekt_test,temporal,simplekt,42,k10,0,0
xes_simplekt_test,temporal,simplekt,42,warm,0,0
