dataset,split_mode,model,seed,group,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,reliability,resolution
assist2012,temporal,simplekt,2027,k5,31,1420,0.568688492063492,0.5366197183098591,0.7056695122214164,0.5040835119954526,0.09501860023781157,0.25410018706566967,0.013658364876867094,0.008844012957339773
assist2012,temporal,simplekt,2027,k10,33,1713,0.5432182090939707,0.5318155283129014,0.8899835832737036,0.5317006144170139,0.15593704746073014,0.2827055433714301,0.057983724550776376,0.019723477075323056
assist2012,temporal,simplekt,2027,warm,212,529786,0.6749404095860159,0.6781021016032889,0.7608368081649722,0.4767269748578854,0.1485164868892448,0.2272686085571509,0.030759345227129288,0.017604112372821175
assist2012,temporal,simplekt,42,strict,27,1407,0.5357458949810258,0.5309168443496801,1.2031058867640128,0.5785718814945664,0.24974630874713694,0.33474542205616253,0.08770590976887752,0.002992481280976295
assist2012,temporal,simplekt,42,k5,31,1420,0.5371587301587302,0.5330985915492957,1.1982882913936028,0.5775723602574656,0.2480313125418165,0.3335898313333796,0.08669206655031629,0.003098030467715979
assist2012,temporal,simplekt,42,k10,33,1713,0.5445479037999628,0.5557501459427904,1.1549299191015203,0.5655305985745678,0.23075521438823215,0.319824857924109,0.07762315410805136,0.0028705838430521003
assist2012,temporal,simplekt,42,warm,212,529786,0.5012764600483924,0.5771877701562518,1.0972240404901723,0.5538061797936761,0.2506156739483635,0.3067012847776655,0.09207289878592276,9.026536355806246e-06
assist2012,temporal,simplekt,42,strict,27,1407,0.4318302140712331,0.4633972992181947,0.8123555062249097,0.5482015805679845,0.18557365584983507,0.3005249729372364,0.06043172689856478,0.010083745596978722
assist2012,temporal,simplekt,42,k5,31,1420,0.43969047619047613,0.4676056338028169,0.8093273344250667,0.5465907946216894,0.18450864813361037,0.29876149676516983,0.05861582375898555,0.009945850844743172
assist2012,temporal,simplekt,42,k10,33,1713,0.41531493794758045,0.45300642148277875,1.1550172041204516,0.5878558617957629,0.25264387850481235,0.345574514247639,0.12241991391088489,0.02196641287272776
assist2012,temporal,simplekt,42,warm,212,529786,0.67343028208188,0.6803539542381264,0.7635080491868902,0.4767404872378241,0.14700861449091585,0.2272814921717579,0.03044380937291181,0.01721356527528538
junyi,learner_based,bkt,2024,warm,1326,2922911,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153,0.7039482214819405,0.7039482214819405,0.4955430985275871,0.0
junyi,learner_based,bkt,2025,warm,1326,2895526,0.5,0.29259761438854287,24.4328128178605,0.8410721643304192,0.7074023856114571,0.7074023856114571,0.5004181351687806,0.0
junyi,learner_based,bkt,42,warm,1326,2922911,0.5,0.2960517785180596,24.313510215359802,0.8390162224188153,0.7039482214819405,0.7039482214819405,0.4955430985275871,0.0
junyi,learner_based,dkt,2024,warm,1326,3269022,0.732803983122286,0.733261507570154,0.5444043251911247,0.42533218782894,0.04168276151114734,0.1809074700033527,0.0025347367291855536,0.029608116256603322
junyi,learner_based,dkt,2024,warm,1326,3243926,0.7324230717222795,0.735837377301455,0.5414269626354152,0.4238795720134223,0.040251735183307595,0.17967389157028205,0.002285133318770508,0.029236245108694423
junyi,learner_based,dkt,2025,warm,1326,3243926,0.7317169331315472,0.7355087631468782,0.5411123862245566,0.423896817465668,0.039144921901119796,0.17968851185752183,0.0021934668659692354,0.029119997156257547
junyi,learner_based,dkt,2025,warm,1326,3244494,0.731536842722013,0.7325965158203406,0.5447171203665876,0.42568030384156036,0.039579145057617685,0.18120372107864316,0.0022833018918973686,0.029352470097278177
junyi,learner_based,dkt,2026,warm,1326,3244494,0.7296427917328608,0.7328779156318366,0.5485991980240023,0.4261787696886746,0.0391556813137794,0.18162834373335235,0.0022760919261995884,0.028945399172169577
junyi,learner_based,dkt,2027,warm,1326,3163548,0.7322483645908582,0.7353398778839455,0.5438443928989767,0.4243242515574692,0.03601776124250888,0.18005107045980642,0.0019772376229938876,0.02945772736862604
junyi,learner_based,dkt,42,warm,1326,3269022,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299,0.040768326152706355,0.18084017927184373,0.0024393342222105243,0.02959359247858959
junyi,learner_based,dkt,42,warm,1326,3269022,0.7325663255875674,0.7332734377437655,0.5442189717560367,0.4252530767341299,0.040768326152706355,0.18084017927184373,0.0024393342222105243,0.02959359247858959
junyi,learner_based,simplekt,2024,warm,1326,3269022,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107,0.07464390027490221,0.18659066501528193,0.0070433943263366085,0.028501816988661093
junyi,learner_based,simplekt,2024,warm,1326,3269022,0.7252603324537382,0.7284634364650957,0.5934210001749053,0.4319614161187107,0.07464390027490221,0.18659066501528193,0.0070433943263366085,0.028501816988661093
junyi,learner_based,simplekt,2025,warm,1326,3243926,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.4319978624677576,0.0785498317158157,0.18662215317671163,0.007876810273407833,0.027948393412141607
junyi,learner_based,simplekt,2025,warm,1326,3243926,0.7242338280790755,0.7299103000500011,0.5990342953908122,0.4319978624677576,0.0785498317158157,0.18662215317671163,0.007876810273407833,0.027948393412141607
junyi,learner_based,simplekt,2026,warm,1326,3244494,0.7183406135361105,0.7218999326243167,0.6449175469325772,0.4402314144450476,0.09126177797026419,0.19380369826428728,0.01204928407576306,0.026683863493070694
junyi,learner_based,simplekt,2027,warm,1326,3163548,0.7198151240737429,0.7264214103911178,0.6168931886139997,0.43605306169066277,0.08225693335727147,0.19014227260980096,0.009487410340825798,0.026998584782525904
junyi,learner_based,simplekt,42,warm,1326,3269022,0.7267426258468979,0.7285509244049138,0.595097470789827,0.4319925316741816,0.07567169342482016,0.1866175474222688,0.007365081255225776,0.02878554329901192
junyi,learner_based,simplekt,42,warm,1326,3269022,0.7261242578405391,0.7288452020206655,0.5958542431676748,0.4320421215507052,0.0751000382961299,0.18666039479403435,0.007261327142460018,0.02862780266214964
junyi,temporal,bkt,42,strict,4,2214,0.5,0.4796747967479675,17.9713958477584,0.7213357077339451,0.5203252032520326,0.5203252032520326,0.270738317139269,0.0
junyi,temporal,bkt,42,k5,4,2214,0.5,0.4796747967479675,17.9713958477584,0.7213357077339451,0.5203252032520326,0.5203252032520326,0.270738317139269,0.0
junyi,temporal,bkt,42,k10,4,2214,0.5,0.4796747967479675,17.9713958477584,0.7213357077339451,0.5203252032520326,0.5203252032520326,0.270738317139269,0.0
junyi,temporal,bkt,42,warm,1319,2853700,0.5000519064228826,0.30110488138206537,24.13109187248323,0.8359854830869713,0.698848337246382,0.6988717279321582,0.4885904606714461,5.348273263375751e-07
junyi,temporal,dkt,2024,strict,4,2545,0.39998392928887105,0.443614931237721,0.7043496874522295,0.5055510726729658,0.08013750313541512,0.2555818870807864,0.00831891461412799,0.004644738233849267
junyi,temporal,dkt,2024,k5,4,2545,0.39998392928887105,0.443614931237721,0.7043496874522295,0.5055510726729658,0.08013750313541512,0.2555818870807864,0.00831891461412799,0.004644738233849267
junyi,temporal,dkt,2024,k10,4,2545,0.39998392928887105,0.443614931237721,0.7043496874522295,0.5055510726729658,0.08013750313541512,0.2555818870807864,0.00831891461412799,0.004644738233849267
junyi,temporal,dkt,2024,warm,1319,3240570,0.6981800660760646,0.7170226225633145,0.624608311442852,0.4443950220845529,0.07080544108067031,0.19748693565353023,0.009266036458153484,0.022094418786759554
junyi,temporal,dkt,2025,strict,4,2545,0.560258367586612,0.524950884086444,0.687250987024493,0.49706026253311875,0.027888730853386137,0.2470689045894929,0.0028922792841227568,0.006207186490365436
