dataset,split_mode,model,seed,auc,acc,nll,rmse,n_nan,note
xes_gpu_test,temporal,dkt,2025,0.49922563337429315,0.6507155047919129,0.7374197579754064,0.4871133871076314,0,
xes_gpu_test,temporal,dkt,42,0.5015064145030561,0.6771694893002494,0.6866584810911915,0.47161333848687,0,
xes_gpu_test,temporal,simplekt,2024,0.5062108440795628,0.5549428909019299,0.87059120335999,0.5440252859457744,0,
xes_gpu_test,temporal,simplekt,2025,0.5055070594762312,0.5985296048312984,0.7835214734850049,0.5128948461484939,0,
xes_gpu_test,temporal,simplekt,42,0.5012827870595915,0.6259682289615334,0.767915543095016,0.5027579769131433,0,
xes_simplekt_test,learner_based,simplekt,2024,0.8609525217537849,0.8305479452054795,0.40125140740136706,0.3527017736123236,0,
xes_simplekt_test,learner_based,simplekt,2025,0.8681453118357826,0.855493258576959,0.3561717000844197,0.32892762156222055,0,
xes_simplekt_test,learner_based,simplekt,42,0.8728389328642625,0.8368620037807183,0.3815006578938005,0.3447090237478417,0,
xes_simplekt_test,temporal,simplekt,2024,0.5061621138192648,0.5575029539188657,0.8679781117347576,0.5428045978683821,0,
xes_simplekt_test,temporal,simplekt,2025,0.5056545104031005,0.6050282263358278,0.7791156489096044,0.5106916332545086,0,
xes_simplekt_test,temporal,simplekt,42,0.5010003204925105,0.6227517395299987,0.7708331724433949,0.5044682692404295,0,
