dataset,split,model,seed,bucket,rel_flag,n_events,ece,brier,unc,rel,res
xes3g5m,learner_based,irt_1pl,42,medium,R,13137,0.1496652443875411,0.1877349435603756,0.1653352581827932,0.0223996853775824,0.0
xes3g5m,learner_based,irt_1pl,42,sparse,R,2164,0.1123900384214653,0.1982694251442491,0.1856379044078706,0.0126315207363784,0.0
xes3g5m,learner_based,irt_1pl,42,very_sparse,L,107,0.0783193489747847,0.2078982666549459,0.2017643462311119,0.0061339204238341,0.0
xes3g5m,learner_based,irt_1pl,2024,dense,R,1269070,0.1542320021927059,0.1864030689025415,0.1626155584021706,0.0237875105003708,0.0
xes3g5m,learner_based,irt_1pl,2024,medium,R,12874,0.1415191658160479,0.1899976638931176,0.1699699895998474,0.02002767429327,0.0
xes3g5m,learner_based,irt_1pl,2024,sparse,R,2061,0.1305787683971653,0.1930910961211161,0.1760402813649955,0.0170508147561205,0.0
xes3g5m,learner_based,irt_1pl,2024,very_sparse,L,123,0.1228510491985759,0.1952761333462338,0.1801837530570427,0.0150923802891909,0.0
xes3g5m,learner_based,irt_1pl,2025,dense,R,1270246,0.1524677428430051,0.1864880825321441,0.1632416699245033,0.0232464126076407,0.0
xes3g5m,learner_based,irt_1pl,2025,medium,R,12639,0.1385198035405955,0.1904515269404926,0.1712637909675674,0.0191877359729251,0.0
xes3g5m,learner_based,irt_1pl,2025,sparse,R,1902,0.1071314290160966,0.1993708428909701,0.1878936998079391,0.0114771430830309,0.0
xes3g5m,learner_based,irt_1pl,2025,very_sparse,I,90,0.0801422947714418,0.2070400713618499,0.2006172839506173,0.0064227874112326,0.0
xes3g5m,learner_based,dkt,42,dense,R,1267014,0.0373985654483095,0.1201782338999954,0.1595392115866115,0.0024259243293838,0.041244245798567
xes3g5m,learner_based,dkt,42,medium,R,13137,0.0734804580133776,0.1129046973002136,0.1653352581827932,0.0087398660984795,0.0601649122843226
xes3g5m,learner_based,dkt,42,sparse,R,2164,0.1046433593324406,0.1327843435545751,0.1856379044078706,0.0148501120526016,0.0670861279544921
xes3g5m,learner_based,dkt,42,very_sparse,L,107,0.1476029082194009,0.1377146269983927,0.2017643462311119,0.0328811682811835,0.0942563700249653
xes3g5m,learner_based,dkt,2024,dense,R,1267014,0.0368426111518823,0.1204136150474271,0.1595392115866115,0.0024271359270289,0.0410214286284034
xes3g5m,learner_based,dkt,2024,medium,R,13137,0.0810905401495147,0.1152718056265418,0.1653352581827932,0.0108901216266391,0.0598076542881927
xes3g5m,learner_based,dkt,2024,sparse,R,2164,0.1106634639253783,0.1384260918652695,0.1856379044078706,0.0168066635706361,0.0627367049162396
xes3g5m,learner_based,dkt,2024,very_sparse,L,107,0.1682090351996521,0.1620333951306267,0.2017643462311119,0.0556216303170454,0.0920314343747805
xes3g5m,learner_based,dkt,2025,dense,R,1269070,0.0374999312543594,0.1223941968709374,0.1626155584021706,0.002614978591174,0.0423280141435149
xes3g5m,learner_based,dkt,2025,medium,R,12874,0.0745987607289888,0.1157393407171437,0.1699699895998474,0.0094870784059227,0.0627712658398514
xes3g5m,learner_based,dkt,2025,sparse,R,2061,0.0944389992870807,0.1210569196873221,0.1760402813649955,0.0130807760328818,0.0669983019987783
xes3g5m,learner_based,dkt,2025,very_sparse,L,123,0.1515580518574696,0.1516783363637771,0.1801837530570427,0.0381622229376325,0.0657611359801932
xes3g5m,learner_based,simplekt,42,dense,R,1267014,0.1143634704626122,0.1524283420591147,0.1595392115866115,0.0175602977104347,0.0237225616308762
xes3g5m,learner_based,simplekt,42,medium,R,13137,0.1015467862122069,0.1273715363076092,0.1653352581827932,0.0141797253572334,0.0510232884234654
xes3g5m,learner_based,simplekt,42,sparse,R,2164,0.1148696763761111,0.1418063905958079,0.1856379044078706,0.0179054018015219,0.0609134576290885
xes3g5m,learner_based,simplekt,42,very_sparse,L,107,0.1874900791916053,0.1736322694638329,0.2017643462311119,0.0783375110913477,0.107212350978182
xes3g5m,learner_based,simplekt,2024,dense,R,1267014,0.113038279675267,0.1520580751750323,0.1595392115866115,0.0169951348438377,0.0235284397454327
xes3g5m,learner_based,simplekt,2024,medium,R,13137,0.1087196476505931,0.1319073158344605,0.1653352581827932,0.0169095889452643,0.0493263597743907
xes3g5m,learner_based,simplekt,2024,sparse,R,2164,0.1241513515081814,0.14422525679629,0.1856379044078706,0.0213443114922704,0.0617642966425426
xes3g5m,learner_based,simplekt,2024,very_sparse,L,107,0.1690137252512061,0.1607948015392062,0.2017643462311119,0.0454925093833183,0.0844240541244646
xes3g5m,learner_based,simplekt,2025,dense,R,1269070,0.1155810842559144,0.1548446985618583,0.1626155584021706,0.0176711235567183,0.0245149191336622
xes3g5m,learner_based,simplekt,2025,medium,R,12874,0.1120554270375115,0.1350165151591068,0.1699699895998474,0.0172716389008859,0.0509209544116333
