dataset,split_mode,model,group,auc_mean,auc_std,acc_mean,acc_std,ece_mean,ece_std,brier_mean,brier_std,reliability_mean,reliability_std,resolution_mean,resolution_std
junyi,temporal,simplekt,k10,0.493131625305189,0.0,0.4931237721021611,0.0,0.30837364070838374,0.0,0.3649132396852538,0.0,0.11693686695024721,0.0,0.0015594550090713252,0.0
junyi,temporal,simplekt,k5,0.493131625305189,0.0,0.4931237721021611,0.0,0.30837364070838374,0.0,0.3649132396852538,0.0,0.11693686695024721,0.0,0.0015594550090713252,0.0
junyi,temporal,simplekt,strict,0.493131625305189,0.0,0.4931237721021611,0.0,0.30837364070838374,0.0,0.3649132396852538,0.0,0.11693686695024721,0.0,0.0015594550090713252,0.0
junyi,temporal,simplekt,warm,0.4998215011438943,0.0,0.600032401707107,0.0,0.22683706863601305,0.0,0.28265565688952754,0.0,0.0720338683495035,0.0,9.934460916640718e-07,0.0
xes3g5m,learner_based,bkt,k10,0.9,0.0,0.8333333333333334,0.0,0.5,0.0,0.3333333333333333,0.0,0.25,0.0,0.05555555555555555,0.0
xes3g5m,learner_based,bkt,k5,1.0,0.0,1.0,0.0,0.4,0.0,0.2,0.0,0.2,0.0,0.16,0.0
xes3g5m,learner_based,bkt,strict,,0.0,1.0,0.0,0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0
xes3g5m,learner_based,bkt,warm,0.5,0.0,0.18805774363436825,0.0,0.8119422563656318,0.0,0.8119422563656318,0.0,0.6592502276721133,0.0,0.0,0.0
xes3g5m,learner_based,dkt,k10,0.7911764705882354,0.029116161578269538,0.7727272727272727,0.06428243465332256,0.2374937360289302,0.040861294100454464,0.19458446746411723,0.029860295185719126,0.09356810169073217,0.04157031458243796,0.07218068127159039,0.011053857810756523
xes3g5m,learner_based,dkt,k5,0.8166666666666667,0.02357022603955162,0.71875,0.04419417382415922,0.30151850506865685,0.0012012906019344342,0.23269715446307782,0.007455488502340384,0.120871811240282,0.025145720001995563,0.12008928571428572,0.03535533905932739
xes3g5m,learner_based,dkt,strict,,0.0,0.625,0.1767766952966369,0.48358355835080147,0.01682786156946732,0.2388697935229972,0.014263691249152978,0.23884256403031412,0.014228956051956145,0.0,0.0
xes3g5m,learner_based,dkt,warm,0.8188820642310402,0.0007032178117796353,0.8354108538979926,0.0004692437571368921,0.03764146440204377,0.00032426507786798123,0.12025808482705487,0.00018873452275469207,0.0024855621505803925,1.0909886760223085e-05,0.04134018829114185,0.00017167568729410258
xes3g5m,learner_based,simplekt,k10,0.7588235294117647,0.033275613232308154,0.7613636363636364,0.01607060866333061,0.22639052779579122,0.01952435223426095,0.19317563666455728,0.0077629948637959675,0.0889607259754513,0.0011439114717764895,0.07126377410468321,0.01044589563116492
xes3g5m,learner_based,simplekt,k5,0.8333333333333334,0.04714045207910316,0.65625,0.04419417382415922,0.31029331589297726,0.009040824924022842,0.23947629526700717,0.028491481933838707,0.1735491998063821,0.048810579723339735,0.16592261904761904,0.02104484467817106
xes3g5m,learner_based,simplekt,strict,,0.0,0.125,0.1767766952966369,0.689948407933116,0.13310669919322962,0.49743410930851006,0.17658969306521885,0.4974322280635569,0.17658703258309197,0.0,0.0
xes3g5m,learner_based,simplekt,warm,0.7562629352119469,0.00033980913302603485,0.8097916526952271,0.00046869235436712824,0.11360786493433488,0.0008679374075984945,0.15199592337502021,0.00022396272721270308,0.017249134969743816,0.0003690872268719738,0.023952421428321102,0.00014381592444641893
xes3g5m,temporal,bkt,k10,0.49720625974542054,0.0,0.33777338755128383,0.0,0.6790434693024185,0.0,0.6706350408755674,0.0,0.5056058466150388,0.0,4.878023737462076e-06,0.0
xes3g5m,temporal,bkt,k5,0.497244334993826,0.0,0.33768630665088184,0.0,0.6792429347661113,0.0,0.6707783140576147,0.0,0.5058617947770834,0.0,4.7396606683702895e-06,0.0
xes3g5m,temporal,bkt,strict,0.4957020332605907,0.0,0.33722364103151553,0.0,0.6763508823945608,0.0,0.6695636206815226,0.0,0.5020214001802482,0.0,1.2027424019486198e-05,0.0
xes3g5m,temporal,bkt,warm,0.5004891145977722,0.0,0.3371539069430647,0.0,0.688169845621736,0.0,0.6755079693393357,0.0,0.5179206354029106,0.0,1.3351640492393237e-07,0.0
xes3g5m,temporal,dkt,k10,0.499748604751638,0.0,0.6572227040570492,0.0,0.2283034784899992,0.0,0.24607836842121994,0.0,0.08091517327443629,0.0,5.445348319911383e-06,0.0
xes3g5m,temporal,dkt,k5,0.4997407616555819,0.0,0.657310682273705,0.0,0.2283271929944506,0.0,0.24603798837569532,0.0,0.08094513590319767,0.0,5.163809967432766e-06,0.0
xes3g5m,temporal,dkt,strict,0.5005729100073241,0.0,0.6560412325160582,0.0,0.22728693046246395,0.0,0.24741601536772637,0.0,0.07969629508399753,0.0,6.677231600524795e-06,0.0
