dataset,split,model,seed,bucket,rel_flag,n_kcs,n_events,auc,acc,nll
assist2012,temporal,simplekt,2025,sparse,R,28,3030,0.5962134216042925,0.529042904290429,1.5621458798120482
assist2012,temporal,simplekt,2025,very_sparse,R,43,2250,0.4524767491261375,0.4542222222222222,1.406608765662135
assist2012,temporal,simplekt,2026,dense,R,145,521661,0.674408844259504,0.6828649256892886,0.7553613847763628
assist2012,temporal,simplekt,2026,medium,R,29,4558,0.5898219186396526,0.5787626151820974,1.0267159260035033
assist2012,temporal,simplekt,2026,sparse,R,28,3030,0.6548410173252857,0.6224422442244224,1.4312557045624752
assist2012,temporal,simplekt,2026,very_sparse,R,43,2250,0.5672660839021664,0.5591111111111111,1.2375518083364858
assist2012,temporal,simplekt,2027,dense,R,145,521661,0.6756697656949142,0.6789696757089374,0.7559835180530751
assist2012,temporal,simplekt,2027,medium,R,29,4558,0.6286601329704777,0.6237384817902589,0.9309638597867445
assist2012,temporal,simplekt,2027,sparse,R,28,3030,0.6491829785491144,0.6313531353135313,1.1645851413054202
assist2012,temporal,simplekt,2027,very_sparse,R,43,2250,0.5661089218856745,0.5386666666666666,1.0960386073276494
junyi,learner_based,irt_1pl,42,dense,R,1293,3264405,0.5,0.7045887382233516,0.606933669118022
junyi,learner_based,irt_1pl,42,medium,R,33,4617,0.5,0.569633961446827,0.7230841063599782
junyi,learner_based,irt_1pl,2024,dense,R,1293,3240308,0.5,0.7078351811000683,0.6041354234413293
junyi,learner_based,irt_1pl,2024,medium,R,33,3618,0.5,0.5713101160862355,0.72175200513194
junyi,learner_based,irt_1pl,2025,dense,R,1293,3241826,0.5,0.7037774390112239,0.6076305280114895
junyi,learner_based,irt_1pl,2025,medium,R,33,2668,0.5,0.573088455772114,0.720338865023808
junyi,learner_based,dkt,42,dense,R,1293,3264405,0.7328013668335287,0.7334730218830078,0.5435782527893678
junyi,learner_based,dkt,42,medium,R,33,4617,0.6195222367441603,0.5921594108728612,0.9972330931311364
junyi,learner_based,dkt,2024,dense,R,1293,3240308,0.732634920464428,0.7360115149547513,0.5408844900014899
junyi,learner_based,dkt,2024,medium,R,33,3618,0.6048671877656222,0.5798783858485351,1.0272695318696416
junyi,learner_based,dkt,2025,dense,R,1293,3241826,0.7317274349015339,0.7327404370253061,0.5442965287363434
junyi,learner_based,dkt,2025,medium,R,33,2668,0.5671406366007841,0.5577211394302849,1.055768425579524
junyi,learner_based,simplekt,42,dense,R,1293,3264405,0.7260835732525311,0.7289392707093636,0.595750185668601
junyi,learner_based,simplekt,42,medium,R,33,4617,0.7110288165853714,0.6623348494693524,0.669427087062804
junyi,learner_based,simplekt,2024,dense,R,1293,3264405,0.7252371484501037,0.7285894366661,0.5933058608043508
junyi,learner_based,simplekt,2024,medium,R,33,4617,0.6915099286043694,0.6393762183235867,0.6748291736500299
junyi,learner_based,simplekt,2025,dense,R,1293,3240308,0.7242613211876924,0.7300454154358166,0.5988890272134434
junyi,learner_based,simplekt,2025,medium,R,33,3618,0.6546861631165124,0.6088999447208402,0.7291375671633853
xes3g5m,learner_based,irt_1pl,42,dense,R,498,1267014,0.5,0.8007670002067854,0.5600097463711731
xes3g5m,learner_based,irt_1pl,42,medium,R,172,13137,0.5,0.7909720636370556,0.5657010024495273
xes3g5m,learner_based,irt_1pl,42,sparse,R,122,2164,0.5,0.7536968576709797,0.5873594114668899
xes3g5m,learner_based,irt_1pl,42,very_sparse,L,40,107,0.5,0.719626168224299,0.6071558661990601
xes3g5m,learner_based,irt_1pl,2024,dense,R,498,1269070,0.5,0.7956085952705525,0.5629601946947193
xes3g5m,learner_based,irt_1pl,2024,medium,R,172,12874,0.5,0.7828957588938946,0.5703507253494454
xes3g5m,learner_based,irt_1pl,2024,sparse,R,122,2061,0.5,0.7719553614750121,0.5767108593198313
xes3g5m,learner_based,irt_1pl,2024,very_sparse,L,44,123,0.5,0.7642276422764228,0.5812033222082197
xes3g5m,learner_based,irt_1pl,2025,dense,R,498,1270246,0.5,0.7945476702937856,0.5631094624171492
