dataset,split_mode,model,seed,setting,bucket,auc,ece
assist2012,learner_based,irt_1pl,42,Alt_1,sparse,0.5,0.1961533161397052
assist2012,learner_based,irt_1pl,42,Alt_1,very_sparse,0.5,0.5294866494730386
assist2012,learner_based,irt_1pl,42,Alt_2,dense,0.5,0.0036744897042643165
assist2012,learner_based,irt_1pl,42,Alt_2,medium,0.5,0.14545897539011587
assist2012,learner_based,irt_1pl,42,Alt_2,sparse,0.5,0.1373297867279406
assist2012,learner_based,irt_1pl,42,Alt_2,very_sparse,0.5,0.02342604341243215
assist2012,learner_based,irt_1pl,2024,Main,dense,0.5,0.0024535079455111353
assist2012,learner_based,irt_1pl,2024,Main,medium,0.5,0.14660936085254317
assist2012,learner_based,irt_1pl,2024,Main,sparse,0.5,0.1092820438562967
assist2012,learner_based,irt_1pl,2024,Main,very_sparse,0.5,0.3628561597328958
assist2012,learner_based,irt_1pl,2024,Alt_1,dense,0.5,0.0010680312755989574
assist2012,learner_based,irt_1pl,2024,Alt_1,medium,0.5,0.05674872779764928
assist2012,learner_based,irt_1pl,2024,Alt_1,sparse,0.5,0.15953260157062799
assist2012,learner_based,irt_1pl,2024,Alt_1,very_sparse,0.5,0.4461894930662291
assist2012,learner_based,irt_1pl,2024,Alt_2,dense,0.5,0.0025805049724921814
assist2012,learner_based,irt_1pl,2024,Alt_2,medium,0.5,0.1296278841813423
assist2012,learner_based,irt_1pl,2024,Alt_2,sparse,0.5,0.10947960651841726
assist2012,learner_based,irt_1pl,2024,Alt_2,very_sparse,0.5,0.05541279403710275
assist2012,learner_based,irt_1pl,2025,Main,dense,0.5,0.003463915395463091
assist2012,learner_based,irt_1pl,2025,Main,medium,0.5,0.1764253412735689
assist2012,learner_based,irt_1pl,2025,Main,sparse,0.5,0.036143392967856514
assist2012,learner_based,irt_1pl,2025,Main,very_sparse,0.5,0.36290858180201097
assist2012,learner_based,irt_1pl,2025,Alt_1,dense,0.5,0.0016678695781767727
assist2012,learner_based,irt_1pl,2025,Alt_1,medium,0.5,0.08647073393559168
assist2012,learner_based,irt_1pl,2025,Alt_1,sparse,0.5,0.07323872024716538
assist2012,learner_based,irt_1pl,2025,Alt_1,very_sparse,0.5,0.6053328242262533
assist2012,learner_based,irt_1pl,2025,Alt_2,dense,0.5,0.004105163539026679
assist2012,learner_based,irt_1pl,2025,Alt_2,medium,0.5,0.17403786431134116
assist2012,learner_based,irt_1pl,2025,Alt_2,sparse,0.5,0.06808307037000128
assist2012,learner_based,irt_1pl,2025,Alt_2,very_sparse,0.5,0.03770532976949048
assist2012,learner_based,irt_1pl,2026,Main,dense,0.5,0.0037925993607441644
assist2012,learner_based,irt_1pl,2026,Main,medium,0.5,0.18510440399783312
assist2012,learner_based,irt_1pl,2026,Main,sparse,0.5,0.0395254972248964
assist2012,learner_based,irt_1pl,2026,Main,strict_cold_start,,0.6962419151353444
assist2012,learner_based,irt_1pl,2026,Main,very_sparse,0.5,0.17243239132582044
assist2012,learner_based,irt_1pl,2026,Alt_1,dense,0.5,0.0016846015265753467
assist2012,learner_based,irt_1pl,2026,Alt_1,medium,0.5,0.08513080402423312
assist2012,learner_based,irt_1pl,2026,Alt_1,sparse,0.5,0.08322821650520729
assist2012,learner_based,irt_1pl,2026,Alt_1,strict_cold_start,,0.6962419151353444
assist2012,learner_based,irt_1pl,2026,Alt_1,very_sparse,0.5,0.5533847722782015
assist2012,learner_based,irt_1pl,2026,Alt_2,dense,0.5,0.004105163539026679
assist2012,learner_based,irt_1pl,2026,Alt_2,medium,0.5,0.17145447236228983
assist2012,learner_based,irt_1pl,2026,Alt_2,sparse,0.5,0.1275699514577051
assist2012,learner_based,irt_1pl,2026,Alt_2,strict_cold_start,,0.6962419151353444
assist2012,learner_based,irt_1pl,2026,Alt_2,very_sparse,0.5,0.0016747515313224604
assist2012,learner_based,simplekt,42,Main,dense,0.6823690269501486,0.11716264227310881
assist2012,learner_based,simplekt,42,Main,medium,0.7514731136907007,0.15695336706051463
assist2012,learner_based,simplekt,42,Main,sparse,0.7450831295341046,0.21035098095404234
assist2012,learner_based,simplekt,42,Main,very_sparse,0.8333333333333334,0.3007737187363091
assist2012,learner_based,simplekt,42,Alt_1,dense,0.6835668260119123,0.11736563083870769
assist2012,learner_based,simplekt,42,Alt_1,medium,0.7033334323973202,0.17976858447644473
assist2012,learner_based,simplekt,42,Alt_1,sparse,0.7510274943310657,0.22666618385558274
assist2012,learner_based,simplekt,42,Alt_1,very_sparse,1.0,0.3936198166011309
assist2012,learner_based,simplekt,42,Alt_2,dense,0.6824471021871478,0.11701045385455021
assist2012,learner_based,simplekt,42,Alt_2,medium,0.7389417521117054,0.16166726338262025
assist2012,learner_based,simplekt,42,Alt_2,sparse,0.7162768031189084,0.22048792281693264
assist2012,learner_based,simplekt,42,Alt_2,very_sparse,0.6888138138138138,0.2778486249655544
assist2012,learner_based,simplekt,2024,Main,dense,0.6786561173641534,0.12033430443190629
assist2012,learner_based,simplekt,2024,Main,medium,0.7715615358943264,0.14765892137232206
assist2012,learner_based,simplekt,2024,Main,sparse,0.7027112232030265,0.2391890303331033
assist2012,learner_based,simplekt,2024,Main,very_sparse,1.0,0.09515443537384269
assist2012,learner_based,simplekt,2024,Alt_1,dense,0.6800922288342457,0.12038511906772303
assist2012,learner_based,simplekt,2024,Alt_1,medium,0.7108487353514478,0.17396875227599778
assist2012,learner_based,simplekt,2024,Alt_1,sparse,0.7248218855917548,0.24665018140980555
assist2012,learner_based,simplekt,2024,Alt_1,very_sparse,1.0,0.09256910649128258
assist2012,learner_based,simplekt,2024,Alt_2,dense,0.6786495709665334,0.12022867548837005
assist2012,learner_based,simplekt,2024,Alt_2,medium,0.76399772522977,0.1497329760780675
assist2012,learner_based,simplekt,2024,Alt_2,sparse,0.648299209186437,0.24786230004066778
assist2012,learner_based,simplekt,2024,Alt_2,very_sparse,0.7190827190827191,0.24855448091248658
assist2012,learner_based,simplekt,2025,Main,dense,0.6820135536933358,0.11854320678640493
assist2012,learner_based,simplekt,2025,Main,medium,0.7534596409607048,0.15770209900747142
assist2012,learner_based,simplekt,2025,Main,sparse,0.725908500973394,0.2071521948112015
assist2012,learner_based,simplekt,2025,Main,very_sparse,0.7448979591836735,0.2300882642829536
assist2012,learner_based,simplekt,2025,Alt_1,dense,0.6833478933971388,0.11879368483393214
assist2012,learner_based,simplekt,2025,Alt_1,medium,0.7342308965774407,0.15426305195539283
assist2012,learner_based,simplekt,2025,Alt_1,sparse,0.7453498478922209,0.2030134785334176
assist2012,learner_based,simplekt,2025,Alt_1,very_sparse,0.30000000000000004,0.3221019816344117
assist2012,learner_based,simplekt,2025,Alt_2,dense,0.6817950780551728,0.11845672043945857
assist2012,learner_based,simplekt,2025,Alt_2,medium,0.7376308062073269,0.15615499956431833
assist2012,learner_based,simplekt,2025,Alt_2,sparse,0.7017283227318379,0.21910956512322344
assist2012,learner_based,simplekt,2025,Alt_2,very_sparse,0.7695473251028807,0.16377850534686367
assist2012,learner_based,simplekt,2026,Main,dense,0.6854224182961114,0.1043064774460833
assist2012,learner_based,simplekt,2026,Main,medium,0.7314634795108386,0.16093036912145758
assist2012,learner_based,simplekt,2026,Main,sparse,0.7197655906895037,0.2150980808470196
assist2012,learner_based,simplekt,2026,Main,strict_cold_start,,0.5064845755696297
assist2012,learner_based,simplekt,2026,Main,very_sparse,0.8363636363636364,0.21889785388400654
assist2012,learner_based,simplekt,2026,Alt_1,dense,0.686719792835281,0.10462028463555612
assist2012,learner_based,simplekt,2026,Alt_1,medium,0.7098298836580087,0.17381245952494795
assist2012,learner_based,simplekt,2026,Alt_1,sparse,0.7513719286102735,0.21512878857899526
assist2012,learner_based,simplekt,2026,Alt_1,strict_cold_start,,0.5064845755696297
assist2012,learner_based,simplekt,2026,Alt_1,very_sparse,0.5,0.29895482516728783
assist2012,learner_based,simplekt,2026,Alt_2,dense,0.685344568088686,0.1041852649777269
assist2012,learner_based,simplekt,2026,Alt_2,medium,0.7243235199438843,0.16305165148491507
assist2012,learner_based,simplekt,2026,Alt_2,sparse,0.7225312532829078,0.18785253516170558
assist2012,learner_based,simplekt,2026,Alt_2,strict_cold_start,,0.5064845755696297
assist2012,learner_based,simplekt,2026,Alt_2,very_sparse,0.7380339680905815,0.24611079230480204
assist2012,temporal,bkt,42,Main,dense,0.5000128748333938,0.6883827344496503
assist2012,temporal,bkt,42,Main,medium,0.49889402711983355,0.6339869281045751
assist2012,temporal,bkt,42,Main,sparse,0.5001310501485234,0.6211080586080586
assist2012,temporal,bkt,42,Main,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,42,Main,very_sparse,0.5,0.7083333333333334
assist2012,temporal,bkt,42,Alt_1,dense,0.500014097775868,0.688449247391085
assist2012,temporal,bkt,42,Alt_1,medium,0.4987632028185321,0.628757799205899
assist2012,temporal,bkt,42,Alt_1,sparse,0.5,0.5578279266572638
assist2012,temporal,bkt,42,Alt_1,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,42,Alt_1,very_sparse,0.5,0.8772727272727273
assist2012,temporal,bkt,42,Alt_2,dense,0.5000299921596986,0.6885172170079426
assist2012,temporal,bkt,42,Alt_2,medium,0.4988206446363519,0.6671201339472582
assist2012,temporal,bkt,42,Alt_2,sparse,0.5000792061839893,0.6391916439600364
assist2012,temporal,bkt,42,Alt_2,strict_cold_start,0.5,0.5124113475177305
assist2012,temporal,bkt,42,Alt_2,very_sparse,0.5,0.6330508474576271
assist2012,temporal,bkt,123,Main,dense,0.5000128748333938,0.6883827344496503
assist2012,temporal,bkt,123,Main,medium,0.49889402711983355,0.6339869281045751
assist2012,temporal,bkt,123,Main,sparse,0.5001310501485234,0.6211080586080586
