dataset,split_mode,model,seed,bucket,n_kcs,n_events,auc,acc,nll,rmse,ece,brier,uncertainty,reliability,resolution
assist2012,learner_based,bkt,42,dense,145,456142,0.5,0.28857461053794653,24.57176244829211,0.843460366266283,0.7114253894620535,0.7114253894620535,0.205299304690819,0.5061260847712344,0.0
assist2012,learner_based,bkt,42,medium,69,2900,0.5,0.44620689655172413,19.12733616904364,0.7441727645165972,0.5537931034482758,0.5537931034482758,0.2471063020214031,0.3066868014268727,0.0
assist2012,learner_based,bkt,42,sparse,5,28,0.5,0.5714285714285714,14.802332740676007,0.6546536707079764,0.42857142857142855,0.42857142857142855,0.24489795918367344,0.18367346938775508,0.0
assist2012,learner_based,dkt,2024,dense,145,527922,0.6983792616619013,0.7185398600550839,0.5775070438966389,0.4386317984468502,0.059905450823978745,0.19239785460871822,0.21010706529952655,0.0051003041683037875,0.022625547690336627
assist2012,learner_based,dkt,2024,medium,70,5773,0.7477452155646944,0.679196258444483,0.7585755900663698,0.47886879048384223,0.15431854877262796,0.229315318499458,0.24900063848117873,0.026659496414105286,0.04555867268771646
assist2012,learner_based,dkt,2024,sparse,37,440,0.7591836734693878,0.7204545454545455,1.0041903763797213,0.4815308109986366,0.191815300144336,0.2318719219410047,0.24677169421487605,0.04171167654998504,0.056026768610025354
assist2012,learner_based,dkt,2024,very_sparse,8,15,0.9107142857142857,0.8,0.4372019658437804,0.399391361317756,0.235479926038776,0.1595134594952503,0.24888888888888888,0.15944575056718469,0.24888888888888888
assist2012,learner_based,dkt,2024,dense,145,536543,0.6974610959106706,0.7193607968047295,0.5780451201834872,0.43885503184722435,0.05857254703514111,0.1925937389776283,0.2104965269997809,0.004802881099253943,0.022521151291579857
assist2012,learner_based,dkt,2024,medium,70,5753,0.7624410350076103,0.7024161307144099,0.7218778738439516,0.4656030480396254,0.13321599222040884,0.21678619834378968,0.2481342045137674,0.020622154329101982,0.05116889303725539
assist2012,learner_based,dkt,2024,sparse,38,438,0.7261431304684309,0.684931506849315,1.1349189297720796,0.5056675796723458,0.242487416677144,0.2556997011316881,0.24247305102062092,0.061918429561300066,0.047291388357501296
assist2012,learner_based,dkt,2024,very_sparse,7,14,0.875,0.7142857142857143,1.0404213503570763,0.4593587319397108,0.25961316531590584,0.21101044460925905,0.24489795918367344,0.14981042345146653,0.18537414965986396
assist2012,learner_based,dkt,2025,dense,145,536543,0.6963104489141616,0.7190197244209691,0.5783090082735282,0.4388595002130543,0.05731860838340474,0.19259766092725183,0.2104965269997809,0.004652600945307595,0.022341708030437682
assist2012,learner_based,dkt,2025,medium,70,5753,0.764597503805175,0.6998087954110899,0.7163031985573295,0.46641496188038606,0.13840486424404982,0.217542916665882,0.2481342045137674,0.022312701429664013,0.051951419511280815
assist2012,learner_based,dkt,2025,sparse,38,438,0.7112668486789775,0.680365296803653,1.2152734476144342,0.5116081057988865,0.22295210970663162,0.2617428539191246,0.24247305102062092,0.056823038939860626,0.03597444393871978
assist2012,learner_based,dkt,2025,very_sparse,7,14,0.75,0.6428571428571429,1.2139051527663225,0.528272582071311,0.3084846656503422,0.27907192096829,0.24489795918367344,0.14476620753104624,0.1139455782312925
assist2012,learner_based,dkt,2025,dense,145,521520,0.6969142316397099,0.7192725111213376,0.5777273566362922,0.43874794992660787,0.058987446763973106,0.1924997635648012,0.20998619301031424,0.005031283884351982,0.02229185768418504
assist2012,learner_based,dkt,2025,medium,70,6734,0.74780453097785,0.6787941787941788,0.7431770083027839,0.4786198838895748,0.15218268684115377,0.22907699325447006,0.2498759558456618,0.025736063488562368,0.04563907869973964
assist2012,learner_based,dkt,2025,sparse,37,402,0.7471041941150636,0.7313432835820896,0.9950505447975089,0.48223055109191587,0.2145355896540318,0.23254630440641288,0.2254399643573179,0.055212661520531454,0.04807597270886619
assist2012,learner_based,dkt,2025,strict_cold_start,1,4,,1.0,0.6043561981180772,0.45360522269681636,0.4534188136458397,0.20575769805782834,0.0,0.2057019169375756,0.0
assist2012,learner_based,dkt,2025,very_sparse,7,21,0.9363636363636364,0.8095238095238095,0.7033229507285597,0.43192079928113447,0.21645460665396452,0.18655557685165405,0.2494331065759637,0.08690709435841683,0.147701504844362
assist2012,learner_based,dkt,2026,dense,145,521520,0.6974099884859657,0.7194834330418776,0.5816866955982748,0.4392032374777745,0.06108696642547179,0.1928994838109584,0.20998619301031424,0.00544909853235911,0.022354964000542002
assist2012,learner_based,dkt,2026,medium,70,6734,0.7341994538200473,0.6700326700326701,0.9346403152888757,0.5028008446990729,0.19466508027434445,0.25280868943010126,0.2498759558456618,0.04329730763962845,0.03888156475240381
assist2012,learner_based,dkt,2026,sparse,37,402,0.740818511198946,0.7238805970149254,1.346921101641067,0.4930941003507936,0.23091347147431884,0.24314179180075854,0.2254399643573179,0.061570479329390186,0.04308969927240883
assist2012,learner_based,dkt,2026,strict_cold_start,1,4,,0.0,0.7982651641206713,0.5497929278239453,0.5493345111608505,0.30227226348522596,0.0,0.302063280094574,0.0
assist2012,learner_based,dkt,2026,very_sparse,7,21,0.9636363636363636,0.8571428571428571,0.31070346633645024,0.3093393856375745,0.15569185261154503,0.09569085550663203,0.2494331065759637,0.056110730057686006,0.20710506424792138
assist2012,learner_based,dkt,2027,dense,145,509470,0.6947999740598012,0.7165505329067462,0.5862476524510359,0.4409840895457643,0.06336728143953484,0.19446696723250667,0.2103955079411565,0.00598614980037549,0.021684208703543383
assist2012,learner_based,dkt,2027,medium,70,6061,0.7434629257028508,0.6774459660122092,0.922177852589778,0.49608608523930525,0.1929361655671523,0.24610140396805924,0.2492086653206017,0.04026519532477177,0.042805930004919265
assist2012,learner_based,dkt,2027,sparse,38,333,0.7259885854056258,0.7057057057057057,1.2724331076616167,0.5002804128044415,0.23952184953987865,0.2502804914357824,0.22121220319418516,0.07201569316465045,0.04182046860637215
assist2012,learner_based,dkt,2027,very_sparse,7,25,0.8012820512820513,0.72,1.0516491732358562,0.4700479591635218,0.23303459703409318,0.2209450839137919,0.2496,0.10606882114558823,0.13293333333333332
assist2012,learner_based,dkt,42,dense,145,527922,0.6979572288621814,0.7191460102060532,0.5777548799552806,0.4386553988892985,0.05882120378732869,0.1924185589747296,0.21010706529952655,0.005025696618458898,0.022492576897940958
assist2012,learner_based,dkt,42,medium,70,5773,0.7395171171535936,0.6743460938853283,0.7788408700275609,0.4841664338248079,0.15611064224124552,0.23441713564263209,0.24900063848117873,0.028313284625953228,0.04230529272960333
