dataset,model,bucket,n_kcs_mean,n_events_mean,auc_mean,acc_mean,nll_mean,rmse_mean,ece_mean,brier_mean,uncertainty_mean,reliability_mean,resolution_mean,n_kcs_std,n_events_std,auc_std,acc_std,nll_std,rmse_std,ece_std,brier_std,uncertainty_std,reliability_std,resolution_std,n_partitions
assist2012,simplekt,dense,146.5,523971.25,0.682201014831929,0.6996706427556917,0.699778273909553,0.4600259108973598,0.1135585221010694,0.21162810522475367,0.21029443691055671,0.020063747524783442,0.018600089432518896,1.2909944487358056,11453.53544762489,0.002448945016475056,0.0032713517830260876,0.005325997697570342,0.0021106894466028903,0.006585063323531242,0.0019435017739405723,0.0002683565004891184,0.0014586452400048048,0.00043229667917402766,4
assist2012,simplekt,medium,68.25,5963.0,0.7546394710915263,0.6912112820508349,0.8028420458017153,0.47656449980847404,0.1541182367155132,0.22717521556444967,0.24840887279092538,0.027325323547768385,0.04784265632176133,1.2583057392117911,539.0924472357841,0.01532358336242468,0.012988905309258423,0.03132048803651798,0.009017858361486896,0.005062647512604301,0.008603679128760294,0.0012768890377661466,0.0020967995427165257,0.0053479912891128455,4
assist2012,simplekt,sparse,38.5,415.25,0.7167402282811565,0.6962010464306905,1.1446179886053702,0.502420951429226,0.2280319869219327,0.2525267097236207,0.233673387001529,0.05935065543664102,0.039245882175782745,1.290994448735806,32.18048062620155,0.0224915214200798,0.010811225065142864,0.08526823232477464,0.011512892047072693,0.01972837426013932,0.011553521512186363,0.012900539307857114,0.010434305927548753,0.008848281481300143,4
assist2012,simplekt,strict_cold_start,1.0,4.0,,0.375,0.7471175574774,0.5251613287702392,0.5224095284938812,0.27612267162347615,0.0,0.2758393542173071,0.0,,,,,,,,,,,,1
assist2012,simplekt,very_sparse,6.5,16.5,0.8270833333333333,0.761030636030636,0.9107799829451673,0.46327526381227085,0.2451216575779887,0.21648623381414234,0.2458716219954981,0.08522305575043335,0.1148452409691171,0.5773502691896257,5.259911279353167,0.05027615428434749,0.05360225845488088,0.17433911535792596,0.04981798065345651,0.05110840851798092,0.04614294343522793,0.006164136805321749,0.03442189952949945,0.02768756869956074,4
junyi,dkt,dense,1295.0,3226541.25,0.7321813986569684,0.7344662614732376,0.5434404165057031,0.4246779740692019,0.03887501664666143,0.18035206788527053,0.20778378346746398,0.0022106363866658176,0.029405366259868247,4.3204937989386,46505.32030764509,0.0009532951808731311,0.0015404301256825644,0.0022118052410779526,0.0009455239958426493,0.0021860789772982585,0.00080329487173078,0.0007243933122583097,0.0002028264462268145,0.0002093238519782143,4
junyi,dkt,medium,31.0,3706.25,0.6054111493480957,0.5838740973357373,1.071913045327268,0.5546287161075165,0.2513404662671113,0.30773823440346026,0.24323082960346135,0.07407270601251682,0.009101207886363455,4.320493798938574,1311.567605323238,0.029918667680015387,0.01719172797848294,0.06927319928720882,0.012891836049484195,0.021705268090572282,0.014436850616916672,0.0012949623871228437,0.012258651312621254,0.0032890667522514176,4
junyi,irt_1pl,dense,1295.0,3226541.25,0.5,0.7054602020374872,0.6061829649437434,0.45584256939372314,0.002574471700041464,0.20779290867923958,0.20778378346746398,9.125211775579066e-06,0.0,4.3204937989386,46505.32030764509,0.0,0.001759511769781173,0.0015156251377846277,0.0007836732042575627,0.0018247583369731197,0.000714188886937505,0.0007243933122583097,1.0257622709639062e-05,0.0,4
junyi,irt_1pl,medium,31.0,3706.25,0.5,0.5819607561296296,0.7125227638790208,0.5078348093165681,0.12092497420781617,0.25790428062985044,0.24323082960346135,0.014673451026389044,0.0,4.320493798938574,1311.567605323238,0.0,0.008294966441406704,0.007093829968909083,0.0032837125849395996,0.008213942555438855,0.00334543963230339,0.0012949623871228437,0.002051362998480491,0.0,4
junyi,simplekt,dense,1295.0,3232614.25,0.7231197455428275,0.7275034660086915,0.6069448837314952,0.43398689349248215,0.07922214845187261,0.18835304069533798,0.20791785669854168,0.008438009249506297,0.027851547339484736,4.3204937989386,50455.593290040735,0.003035613988069169,0.0014606936599490914,0.014500023172142513,0.002354686728530893,0.005137941300925331,0.0020488430575988986,0.0002834845011566896,0.0015005214490133685,0.0008207239803091731,4
