dataset,split,fold,covariate,estimator,weighted,cluster,n_obs,n_unique_kc,n_folds,n_splits,coef_std,SE_cluster,CI_lo,CI_hi,p
xes3g5m,learner_based,0,log1p(f_train),WLS,True,kc_id,830,830,1,1,-0.10394293472154646,0.007742768799100724,-0.11914067129502495,-0.08874519814806797,2.5315614165652778e-37
xes3g5m,learner_based,0,difficulty_proxy,WLS,True,kc_id,830,830,1,1,0.012630757553768643,0.0032371001740865574,0.006276881184188458,0.01898463392334883,0.00010318987238426261
xes3g5m,learner_based,0,item_support,WLS,True,kc_id,830,830,1,1,0.007527961560030346,0.0018886892653703728,0.00382078617238487,0.011235136947675823,7.317521356163954e-05
xes3g5m,learner_based,0,learner_exposure,WLS,True,kc_id,830,830,1,1,0.02238065351171466,0.004146893012890679,0.014241008735593894,0.030520298287835427,8.85218598399589e-08
xes3g5m,learner_based,0,curriculum_position_proxy,WLS,True,kc_id,830,830,1,1,-0.01059975663555045,0.0030456762128242094,-0.016577900368317973,-0.004621612902782925,0.0005270721629359244
xes3g5m,learner_based,0,log1p(f_train),OLS,False,kc_id,830,830,1,1,-0.03262413555319847,0.011375252220964478,-0.0549518184786105,-0.010296452627786445,0.004235685442942902
xes3g5m,learner_based,0,difficulty_proxy,OLS,False,kc_id,830,830,1,1,0.04044089119631169,0.006715868361592606,0.027258785302423018,0.05362299709020036,2.5916685988527435e-09
xes3g5m,learner_based,0,item_support,OLS,False,kc_id,830,830,1,1,-0.002064504752305061,0.0033982929296827204,-0.008734775050293403,0.004605765545683281,0.5436773521717808
xes3g5m,learner_based,0,learner_exposure,OLS,False,kc_id,830,830,1,1,0.016963461309226446,0.008432510740447853,0.0004118787666560278,0.033515043851796864,0.04457748077074128
xes3g5m,learner_based,0,curriculum_position_proxy,OLS,False,kc_id,830,830,1,1,-0.01450204184281132,0.004022028091339768,-0.02239659804219204,-0.006607485643430597,0.00032997464509791955
xes3g5m,temporal,0,log1p(f_train),WLS,True,kc_id,433,433,1,1,-0.016868433192215763,0.016085830462374814,-0.04848465857655805,0.014747792192126522,0.2949247721663844
xes3g5m,temporal,0,difficulty_proxy,WLS,True,kc_id,433,433,1,1,0.04918269503381621,0.011847901498449259,0.02589599404671922,0.07246939602091321,3.986213969609901e-05
xes3g5m,temporal,0,item_support,WLS,True,kc_id,433,433,1,1,-0.018584326987373005,0.008552590255786648,-0.03539419090949717,-0.001774463065248838,0.030327084179461544
xes3g5m,temporal,0,learner_exposure,WLS,True,kc_id,433,433,1,1,0.008940979350682198,0.013258739037130316,-0.01711868121148704,0.03500063991285143,0.500451972615369
xes3g5m,temporal,0,curriculum_position_proxy,WLS,True,kc_id,433,433,1,1,0.00015559786667454804,0.009341829161535161,-0.018205491849144377,0.018516687582493474,0.9867187080156303
xes3g5m,temporal,0,log1p(f_train),OLS,False,kc_id,433,433,1,1,-0.00716331312735987,0.018601627019453698,-0.04372426245093579,0.029397636196216048,0.700359761679588
xes3g5m,temporal,0,difficulty_proxy,OLS,False,kc_id,433,433,1,1,0.056882558287555056,0.013721227218157878,0.029913890844879186,0.08385122573023093,4.080809523686389e-05
xes3g5m,temporal,0,item_support,OLS,False,kc_id,433,433,1,1,-0.004843031436568549,0.011957736193272854,-0.02834560927719111,0.01865954640405401,0.6856688741349991
xes3g5m,temporal,0,learner_exposure,OLS,False,kc_id,433,433,1,1,0.0017957445376154324,0.015466770344410236,-0.028603736441655203,0.03219522551688607,0.9076245499755669
xes3g5m,temporal,0,curriculum_position_proxy,OLS,False,kc_id,433,433,1,1,-0.006552250606628998,0.01086342846895029,-0.027903998887476314,0.014799497674218317,0.5467270336801353
