dataset,split,fold,kc_id,test_events,ECE,log1p_f_train,difficulty_proxy,item_support,learner_exposure,curriculum_position_proxy
junyi,learner_based,0,arhLfqJ8pA8XhguBiyIZKbrXTISqxBnAQeYVkKBtcWQ=,9006,0.0404057309226727,10.341677965256997,0.0528115624092654,17.0,2596.0,0.496257155438133
junyi,learner_based,0,awqH6F/TgV0QhF46PtnHP7eSsTSHSXMKIO4KqJaMn04=,1538,0.0808124064488435,8.587092318795905,0.3185972766274948,16.0,691.0,0.6387096774193548
junyi,learner_based,0,ayCRiWa4X48etGB2T5tDIRCcIozUEOmIWHNctm20hns=,2163,0.0833379306619055,9.025696119812585,0.3012149645134127,19.0,966.0,0.5358130183463181
junyi,learner_based,0,b/krXJBZm0PjanxrV1ad3wJ+cirOA0/+gywkvvJRQ9U=,1346,0.0957078811277346,8.47782846789396,0.3252184769038702,25.0,675.0,0.4963068274667451
junyi,learner_based,0,b1IGwey9JYxxOGjLTGRvkWIsfmIlerNqghEc8OtDB8o=,1692,0.08985127643605,8.709630081951286,0.4166666666666666,22.0,662.0,0.6174061226875042
junyi,learner_based,0,b6cw1Qxc9pcHLkL8JmxW99AJEkZtsztt9ZvSboO7usA=,3253,0.0985266789267182,9.160519676992228,0.2184379270471985,20.0,1336.0,0.411651420317766
junyi,learner_based,0,b7WGHdUuPzaL2tTyUSSu5MoQ7LGDoLlHwTV8M3SDbvo=,2880,0.0769967289641499,9.002454823050954,0.3557005663629647,16.0,966.0,0.5247423732272217
junyi,learner_based,0,b9R/xne951+T/j1JI1MBUYj5GedaqnaVkFFXo7wZ+qo=,1715,0.0779025783387634,8.580355766373877,0.3215023474178403,16.0,600.0,0.5920265780730897
junyi,learner_based,0,bGhEHzDDpgeN/wftiCCViepN+b6lTXEnxj1/8DxWeZ4=,205,0.1377429968881898,5.8664680569332965,0.5965909090909092,20.0,32.0,0.4354838709677419
junyi,learner_based,0,bL9LCeyWY9s37YHGGaajw9y6AvwkTvCxHwEL9prznXk=,2920,0.100110024123848,9.2237500588861,0.3096506808762581,17.0,1329.0,0.7081935123042506
junyi,learner_based,0,bPD7y6gQ2IeTfXrQunq8OXXx5LY2zIsQ8wfSBApCHTc=,2157,0.0951731764073718,8.823353485113792,0.5067746686303387,23.0,522.0,0.3589496731421355
junyi,learner_based,0,bSU4MMcM8YSzI9yAlKY0lW+EtDZDkSak/+wCG1Ncz4I=,3345,0.0738885993036331,9.411728991487363,0.1278822567457073,17.0,1580.0,0.3612426472876661
junyi,learner_based,0,bUte1ZRGCV1S/2YX8o4VgvRd3uaJ383rAiQfhpHmtos=,1455,0.1085986876220176,8.296546520300614,0.2080319281616363,18.0,652.0,0.382032667876588
junyi,learner_based,0,bY13RsIM2Xlj/qRBujFNedeCeDFFNKV1YUp+1kTLfAA=,2202,0.1027941769572629,8.888618807300878,0.2087472406181015,18.0,1098.0,0.5374464078986837
junyi,learner_based,0,bZml5gkJWB1WJFn9WFcAJB4dwFXSFI3h0uK0BwtBHzg=,3025,0.0918582645575862,9.254261559034113,0.3147970903522205,16.0,1114.0,0.6
junyi,learner_based,0,bcVaSTFMr4RK9JPKGqEq+y6uMvBtTET8i7vhnwCQTpA=,4289,0.12787922679697,9.595738817934032,0.2443371199238146,41.0,1647.0,0.3028798411122145
junyi,learner_based,0,bd5nps07t0OtRxZxiwM39yi9o6qmxUkuW5g46/PKjeo=,1380,0.0581127789694869,8.660254034256889,0.5532246879334257,22.0,417.0,0.5665313212522017
junyi,learner_based,0,bdWR70qmnAJIvbK4o/p60bDY5QbnX2vaRkVdg1s1DZk=,2724,0.1065028240109647,9.19573421958682,0.3038360056829714,18.0,1000.0,0.4067934437487946
junyi,learner_based,0,bhUhhAGCaQV/N1qvnzhpjaD7P2mfdt3aqOl/ctA5Ozg=,4235,0.0938398401700718,9.518633568332074,0.3578986039676708,16.0,1539.0,0.2489478756421639
junyi,learner_based,0,bhl5niycEORGZd9uw9vrbmuxJKvPUJT7TabweC0W77M=,906,0.0698100166029356,8.034631032923107,0.3179902755267423,38.0,360.0,0.6057233704292527
junyi,learner_based,0,biaxP2zII7NP2ksFgn8KMiJxA30RhydZ7oiHmr4Lh5Y=,1184,0.1074212704583801,8.37216741936598,0.517113783533765,25.0,285.0,0.3526654153802975
